county_code,county_name,city,postal_code,crime_risk,hail_risk,flood_risk,wind_risk,fire_risk,dist_fire_station_km,dist_hydrant_km,dist_police_km,dist_coast_km,dist_danube_km
CJ,Cluj,Turda,986288,0.53,0.442,0.315,0.389,0.372,0.3,0.39,1.94,308.85,234.65
PH,Prahova,Sinaia,673307,0.57,0.458,0.281,0.375,0.403,0.18,0.15,0.76,321.79,391.83
GL,Galati,Galati,500025,0.462,0.328,0.508,0.464,0.423,0.06,0.32,2.21,450.89,19.57
VS,Vaslui,Husi,310287,0.456,0.409,0.324,0.345,0.389,0.05,3.7,10.52,545.73,278.5
CJ,Cluj,Dej,504074,0.553,0.406,0.304,0.352,0.385,0.2,0.43,1.77,453.17,328.75
BZB,Bucuresti,Sector 3,870105,0.634,0.316,0.2,0.358,0.402,1.48,0.57,3.76,270.0,54.85
BZ,Buzau,Ramnicul Sarat,898654,0.342,0.394,0.39,0.357,0.366,0.16,1.1,6.48,249.18,366.35
IF,Ilfov,Chitila,369725,0.51,0.36,0.366,0.352,0.323,0.09,7.5,9.83,307.96,206.22
BZB,Bucuresti,Sector 2,254076,0.71,0.356,0.252,0.38,0.317,0.07,0.34,1.47,98.64,385.12
BH,Bihor,Alesd,811139,0.345,0.37,0.283,0.395,0.352,0.06,0.92,16.24,187.65,141.77
GL,Galati,Galati,199984,0.414,0.319,0.442,0.471,0.319,0.21,0.4,4.96,215.38,8.74
CJ,Cluj,Turda,534366,0.497,0.448,0.253,0.356,0.423,0.71,0.69,1.74,557.79,33.43
BZ,Buzau,Buzau,307642,0.344,0.353,0.389,0.346,0.383,3.24,3.19,18.0,481.93,346.53
CJ,Cluj,Turda,760724,0.563,0.419,0.284,0.43,0.359,0.19,0.79,2.7,245.17,58.9
AR,Arad,Lipova,371349,0.382,0.342,0.292,0.427,0.372,0.14,3.66,7.08,440.41,93.99
IS,Iasi,Pascani,449357,0.631,0.319,0.278,0.43,0.385,1.02,0.52,0.44,106.27,249.99
CT,Constanta,Constanta,862651,0.42,0.275,0.535,0.617,0.322,0.07,1.18,9.48,22.05,14.61
SV,Suceava,Radauti,422587,0.42,0.488,0.368,0.37,0.454,0.69,1.53,4.7,157.67,385.77
BR,Braila,Braila,568206,0.364,0.388,0.534,0.365,0.347,0.6,3.0,6.27,460.19,19.79
MM,Maramures,Baia Mare,194153,0.364,0.61,0.381,0.374,0.387,0.13,2.1,7.23,541.54,176.01
CT,Constanta,Mangalia,647866,0.41,0.243,0.644,0.678,0.347,0.1,3.0,7.09,20.85,9.15
BZB,Bucuresti,Sector 5,319236,0.594,0.35,0.251,0.327,0.319,0.12,0.36,1.13,330.38,384.95
PH,Prahova,Sinaia,545955,0.442,0.37,0.282,0.378,0.417,0.09,0.96,0.4,151.65,142.65
IF,Ilfov,Otopeni,187280,0.524,0.362,0.354,0.337,0.324,0.1,6.77,2.77,273.05,179.8
SV,Suceava,Suceava,795116,0.334,0.566,0.325,0.485,0.367,0.08,4.13,3.69,522.69,353.59
CV,Covasna,Targu Secuiesc,577764,0.277,0.554,0.314,0.509,0.502,0.68,2.49,5.96,305.97,78.75
BT,Botosani,Botosani,957023,0.398,0.511,0.337,0.407,0.365,0.14,6.26,8.46,396.23,202.06
GL,Galati,Tecuci,578696,0.385,0.43,0.548,0.456,0.371,0.16,4.41,3.32,493.12,15.95
SV,Suceava,Falticeni,814271,0.335,0.564,0.36,0.451,0.354,2.35,1.34,7.23,408.79,175.38
BZB,Bucuresti,Sector 4,387240,0.721,0.321,0.236,0.36,0.347,0.97,0.11,1.97,100.93,196.36
BZB,Bucuresti,Sector 5,774656,0.775,0.328,0.236,0.329,0.397,0.22,1.2,1.52,344.65,365.62
GR,Giurgiu,Giurgiu,844509,0.444,0.333,0.486,0.417,0.311,0.24,2.02,9.75,182.86,19.68
VL,Valcea,Ramnicu Valcea,352484,0.356,0.446,0.333,0.326,0.334,0.2,3.86,11.8,575.52,255.72
CJ,Cluj,Cluj-Napoca,590026,0.519,0.402,0.314,0.364,0.396,0.13,0.5,0.73,524.07,149.22
IF,Ilfov,Voluntari,959006,0.474,0.364,0.333,0.346,0.393,0.36,4.26,5.76,329.92,198.89
CJ,Cluj,Dej,357770,0.522,0.398,0.255,0.385,0.365,1.27,1.08,1.11,494.71,340.49
BV,Brasov,Brasov,951310,0.325,0.531,0.338,0.546,0.408,0.1,7.5,6.06,220.73,357.39
PH,Prahova,Ploiesti,319290,0.442,0.44,0.271,0.342,0.381,0.39,0.57,2.66,458.48,391.37
CT,Constanta,Mangalia,391371,0.395,0.244,0.541,0.631,0.335,0.39,1.25,13.98,24.24,12.79
BZB,Bucuresti,Sector 5,352514,0.603,0.362,0.198,0.314,0.354,0.05,0.5,0.97,419.17,334.56
BV,Brasov,Brasov,139104,0.268,0.665,0.384,0.481,0.493,0.48,7.5,7.24,470.14,201.93
DJ,Dolj,Craiova,403522,0.389,0.319,0.403,0.332,0.307,0.13,6.68,15.28,419.84,196.03
GL,Galati,Galati,525839,0.473,0.429,0.556,0.386,0.344,0.32,0.45,2.77,449.48,1.64
AG,Arges,Campulung,193433,0.412,0.398,0.348,0.366,0.404,0.15,3.34,10.07,373.33,280.36
BC,Bacau,Moinesti,855850,0.383,0.365,0.447,0.418,0.361,0.28,6.57,13.07,384.6,102.33
PH,Prahova,Sinaia,170014,0.457,0.352,0.274,0.342,0.339,0.34,0.28,0.54,217.7,255.88
CS,Caras-Severin,Resita,513848,0.167,0.339,0.154,0.198,0.199,0.07,7.5,18.0,598.27,46.34
GL,Galati,Tecuci,821208,0.403,0.425,0.512,0.464,0.338,0.12,3.16,3.02,246.96,5.64
BH,Bihor,Salonta,820606,0.444,0.411,0.311,0.389,0.343,0.19,0.25,0.98,375.33,200.87
PH,Prahova,Campina,375115,0.508,0.378,0.286,0.337,0.329,0.39,0.54,0.81,213.86,335.91
BZB,Bucuresti,Sector 1,193529,0.695,0.341,0.195,0.397,0.339,0.24,0.51,3.33,93.8,305.08
VL,Valcea,Dragasani,892526,0.385,0.421,0.319,0.38,0.356,0.37,5.76,4.52,338.23,228.5
BZB,Bucuresti,Sector 6,621648,0.769,0.36,0.204,0.36,0.39,0.23,0.78,0.95,395.75,187.24
DJ,Dolj,Craiova,735490,0.414,0.31,0.408,0.413,0.327,0.14,2.4,1.11,164.96,277.28
DJ,Dolj,Craiova,502603,0.44,0.302,0.371,0.378,0.32,0.18,0.22,14.36,500.66,390.53
BC,Bacau,Bacau,427994,0.47,0.445,0.416,0.391,0.392,1.02,0.92,9.34,236.92,364.11
AG,Arges,Pitesti,943251,0.452,0.44,0.332,0.325,0.413,0.13,1.75,5.48,112.82,388.44
CT,Constanta,Constanta,214746,0.363,0.234,0.712,0.527,0.389,0.73,5.78,0.9,24.08,14.1
IF,Ilfov,Chitila,876293,0.532,0.4,0.372,0.373,0.345,0.18,3.18,2.06,311.96,374.35
MS,Mures,Sighisoara,445188,0.301,0.449,0.274,0.457,0.366,1.03,0.53,5.1,112.93,102.2
MM,Maramures,Sighetu Marmatiei,876713,0.365,0.556,0.363,0.387,0.463,0.21,7.5,2.8,307.68,379.91
DJ,Dolj,Bailesti,256778,0.46,0.354,0.339,0.355,0.366,0.25,6.18,13.03,177.71,69.71
IS,Iasi,Pascani,561337,0.553,0.376,0.319,0.431,0.373,0.2,0.65,3.01,106.43,393.11
HD,Hunedoara,Hunedoara,772849,0.364,0.546,0.282,0.466,0.444,0.27,2.62,7.6,424.52,278.59
BZB,Bucuresti,Sector 5,540867,0.649,0.318,0.246,0.351,0.375,0.09,0.1,2.51,468.58,361.03
CJ,Cluj,Turda,395256,0.442,0.483,0.246,0.341,0.352,0.14,0.64,0.58,328.77,84.55
CJ,Cluj,Turda,480527,0.471,0.377,0.279,0.398,0.327,0.25,0.17,0.39,205.19,163.5
BR,Braila,Braila,533010,0.396,0.339,0.438,0.43,0.33,0.06,3.1,14.56,202.72,19.32
BZB,Bucuresti,Sector 3,548138,0.704,0.361,0.259,0.362,0.391,1.46,0.35,2.62,328.14,212.9
GL,Galati,Galati,611350,0.432,0.413,0.441,0.39,0.408,2.76,1.06,5.44,288.86,7.43
MS,Mures,Sighisoara,944923,0.334,0.509,0.282,0.36,0.363,0.07,1.61,1.33,179.8,94.92
TM,Timis,Sannicolau Mare,338240,0.59,0.357,0.29,0.438,0.322,0.1,0.17,1.96,211.58,317.04
TR,Teleorman,Turnu Magurele,440485,0.468,0.32,0.319,0.383,0.402,0.06,7.45,11.21,285.52,306.42
DJ,Dolj,Craiova,269952,0.386,0.341,0.373,0.416,0.365,0.29,4.06,9.29,207.86,300.03
SV,Suceava,Radauti,188009,0.363,0.455,0.332,0.429,0.39,0.74,2.37,9.04,212.46,79.96
BZB,Bucuresti,Sector 4,461842,0.619,0.359,0.218,0.301,0.315,0.32,0.86,1.35,521.16,114.23
AG,Arges,Curtea de Arges,880680,0.377,0.414,0.404,0.333,0.407,0.34,0.28,7.05,467.28,333.59
SV,Suceava,Falticeni,359069,0.325,0.461,0.367,0.434,0.427,0.49,1.42,18.0,432.55,223.54
BZ,Buzau,Buzau,815708,0.455,0.427,0.422,0.429,0.358,0.14,1.41,7.01,489.65,171.63
BZB,Bucuresti,Sector 3,895175,0.635,0.351,0.214,0.361,0.367,0.34,0.4,0.46,337.71,50.43
DB,Dambovita,Gaesti,878589,0.344,0.388,0.425,0.324,0.403,0.1,0.55,8.22,356.27,318.33
CJ,Cluj,Dej,307671,0.429,0.483,0.292,0.39,0.402,0.17,1.66,1.42,541.79,330.35
DB,Dambovita,Gaesti,620747,0.357,0.457,0.42,0.422,0.356,0.12,0.59,1.29,594.71,57.4
BT,Botosani,Dorohoi,844528,0.41,0.487,0.39,0.446,0.417,0.22,0.5,14.76,168.25,324.73
CJ,Cluj,Turda,238178,0.462,0.469,0.261,0.396,0.415,0.11,0.63,2.17,553.09,139.16
MM,Maramures,Baia Mare,360850,0.33,0.57,0.362,0.441,0.378,0.19,1.28,2.14,292.7,62.08
CL,Calarasi,Calarasi,496865,0.429,0.322,0.522,0.405,0.377,0.34,7.5,9.11,354.9,15.45
SV,Suceava,Suceava,164665,0.368,0.497,0.413,0.432,0.413,0.32,0.38,15.86,80.3,189.82
TR,Teleorman,Turnu Magurele,760119,0.365,0.357,0.336,0.425,0.315,0.31,4.28,4.67,199.95,365.14
IS,Iasi,Iasi,780483,0.608,0.431,0.298,0.351,0.347,0.11,0.34,2.23,412.29,348.19
BZB,Bucuresti,Sector 2,283474,0.681,0.357,0.212,0.344,0.401,0.96,0.52,1.58,342.86,265.57
GL,Galati,Tecuci,774255,0.404,0.356,0.444,0.385,0.414,0.14,0.82,12.22,421.05,7.6
BC,Bacau,Bacau,149441,0.461,0.343,0.442,0.359,0.413,0.39,0.86,15.96,85.73,96.08
BZB,Bucuresti,Sector 3,594543,0.604,0.296,0.236,0.374,0.36,0.44,0.1,3.68,196.7,47.01
DB,Dambovita,Targoviste,740267,0.342,0.393,0.391,0.387,0.406,5.61,4.64,3.05,207.69,45.74
CL,Calarasi,Oltenita,509404,0.39,0.316,0.521,0.451,0.319,0.12,2.58,1.85,476.77,24.28
BZB,Bucuresti,Sector 2,973638,0.685,0.284,0.249,0.362,0.362,0.2,1.01,0.28,459.49,344.12
IL,Ialomita,Fetesti,558846,0.401,0.399,0.401,0.36,0.316,0.09,1.96,18.0,526.97,169.93
VL,Valcea,Dragasani,317529,0.399,0.479,0.348,0.37,0.43,0.22,0.25,2.61,327.16,308.9
CT,Constanta,Mangalia,401541,0.441,0.252,0.689,0.59,0.398,1.07,1.6,3.62,5.43,17.5
AG,Arges,Campulung,357934,0.357,0.393,0.365,0.377,0.35,0.11,7.5,13.27,87.16,121.87
HD,Hunedoara,Deva,454664,0.355,0.53,0.328,0.437,0.364,0.29,1.3,1.37,570.05,38.24
MS,Mures,Targu Mures,787458,0.327,0.543,0.312,0.451,0.458,0.06,1.46,8.76,593.58,36.01
HR,Harghita,Miercurea Ciuc,858388,0.284,0.596,0.4,0.471,0.4,0.07,7.5,6.82,300.3,374.14
IS,Iasi,Pascani,974020,0.51,0.376,0.36,0.369,0.35,0.43,0.58,2.79,236.73,41.5
GL,Galati,Tecuci,280164,0.448,0.339,0.526,0.395,0.359,0.19,7.5,1.33,377.41,6.13
BZB,Bucuresti,Sector 3,408384,0.582,0.324,0.2,0.323,0.376,0.08,0.76,0.18,451.07,397.34
CV,Covasna,Targu Secuiesc,246570,0.302,0.606,0.316,0.465,0.384,0.11,2.42,1.27,222.43,42.14
CJ,Cluj,Cluj-Napoca,273647,0.482,0.41,0.262,0.356,0.329,0.05,0.17,2.36,342.19,226.77
CT,Constanta,Constanta,796544,0.432,0.276,0.699,0.588,0.378,0.48,5.96,8.8,20.03,1.82
TR,Teleorman,Turnu Magurele,819299,0.438,0.387,0.33,0.35,0.341,0.06,6.13,10.67,537.29,130.03
BZB,Bucuresti,Sector 6,483373,0.64,0.325,0.219,0.325,0.35,0.11,1.93,1.59,213.5,388.82
TM,Timis,Lugoj,970832,0.578,0.357,0.277,0.36,0.383,0.21,0.46,5.71,454.94,51.77
MS,Mures,Targu Mures,834310,0.305,0.502,0.278,0.42,0.354,3.45,3.57,9.38,453.39,193.78
BV,Brasov,Sacele,193736,0.345,0.592,0.389,0.472,0.507,0.11,1.34,2.81,296.4,100.32
BZB,Bucuresti,Sector 6,327976,0.717,0.283,0.194,0.366,0.333,0.34,0.1,1.06,271.54,228.75
CT,Constanta,Medgidia,154567,0.384,0.232,0.604,0.545,0.325,0.19,2.37,4.05,11.99,15.1
BZB,Bucuresti,Sector 2,569781,0.758,0.354,0.195,0.343,0.371,0.56,1.19,0.55,470.79,217.84
SB,Sibiu,Medias,882424,0.338,0.569,0.35,0.469,0.472,0.05,3.34,18.0,298.52,99.6
CV,Covasna,Targu Secuiesc,733399,0.273,0.527,0.391,0.486,0.409,0.2,7.5,1.3,235.55,44.62
SB,Sibiu,Medias,138857,0.277,0.588,0.369,0.458,0.421,0.15,6.69,9.38,391.05,362.3
BZB,Bucuresti,Sector 5,170868,0.652,0.294,0.215,0.328,0.316,1.89,0.68,1.84,216.62,394.83
CS,Caras-Severin,Resita,278305,0.153,0.3,0.179,0.217,0.247,0.09,4.34,12.56,375.23,55.58
BR,Braila,Braila,991443,0.348,0.374,0.445,0.427,0.304,0.18,1.75,4.28,202.05,14.16
GJ,Gorj,Motru,614946,0.419,0.424,0.375,0.401,0.336,0.05,7.5,10.73,216.92,184.87
DJ,Dolj,Bailesti,878387,0.428,0.346,0.356,0.353,0.324,0.17,0.2,8.16,520.79,117.89
BV,Brasov,Fagaras,401943,0.256,0.519,0.378,0.544,0.389,0.1,7.5,0.34,389.5,396.76
CJ,Cluj,Dej,722573,0.453,0.377,0.28,0.386,0.408,0.51,0.17,1.31,251.49,374.82
PH,Prahova,Sinaia,450758,0.571,0.39,0.303,0.349,0.331,0.24,0.23,0.43,477.97,65.87
BZB,Bucuresti,Sector 2,153217,0.721,0.283,0.238,0.364,0.377,0.38,0.11,1.9,385.51,275.81
GJ,Gorj,Motru,404047,0.415,0.488,0.337,0.319,0.379,0.16,1.88,3.6,421.81,296.48
OT,Olt,Slatina,194140,0.462,0.363,0.379,0.387,0.308,0.14,1.1,0.75,510.27,249.58
MS,Mures,Targu Mures,338314,0.333,0.492,0.333,0.427,0.402,0.07,3.2,6.89,134.99,155.17
TM,Timis,Lugoj,911136,0.507,0.433,0.3,0.353,0.361,0.14,0.99,1.23,367.17,108.34
TM,Timis,Sannicolau Mare,744661,0.525,0.344,0.29,0.454,0.385,0.06,0.74,0.83,320.55,185.31
BN,Bistrita-Nasaud,Bistrita,923215,0.132,0.276,0.193,0.201,0.207,0.16,1.88,12.23,554.35,85.87
BZB,Bucuresti,Sector 4,562600,0.757,0.357,0.234,0.363,0.365,0.07,1.59,1.37,86.45,218.6
IS,Iasi,Pascani,141962,0.54,0.357,0.301,0.378,0.361,0.14,0.86,2.46,414.75,381.5
CT,Constanta,Medgidia,834256,0.423,0.214,0.58,0.593,0.301,0.79,7.5,14.66,2.2,3.4
PH,Prahova,Campina,433134,0.574,0.342,0.305,0.376,0.412,0.28,0.42,0.98,119.91,102.01
AB,Alba,Aiud,869212,0.32,0.523,0.292,0.419,0.413,0.92,2.47,2.74,126.14,180.54
BZB,Bucuresti,Sector 5,541530,0.766,0.316,0.236,0.345,0.377,0.23,1.76,1.68,541.06,333.13
IS,Iasi,Iasi,602208,0.595,0.349,0.324,0.341,0.416,0.13,0.52,3.44,377.03,186.32
IF,Ilfov,Chitila,849972,0.453,0.328,0.323,0.328,0.35,0.48,4.07,2.43,507.93,103.4
SB,Sibiu,Medias,405406,0.35,0.562,0.36,0.398,0.474,0.23,4.95,18.0,503.24,305.49
HD,Hunedoara,Petrosani,383446,0.367,0.533,0.331,0.375,0.39,0.44,3.51,2.65,545.49,55.94
MM,Maramures,Sighetu Marmatiei,378362,0.322,0.569,0.344,0.412,0.421,0.33,6.22,18.0,496.3,345.85
BV,Brasov,Fagaras,253707,0.307,0.561,0.375,0.438,0.473,0.07,0.98,7.03,534.92,91.37
TM,Timis,Timisoara,122300,0.451,0.387,0.306,0.423,0.353,0.21,0.21,1.03,168.6,267.84
BZB,Bucuresti,Sector 3,399569,0.624,0.301,0.201,0.388,0.321,1.71,0.21,1.62,293.38,92.14
SV,Suceava,Falticeni,736803,0.398,0.445,0.355,0.484,0.355,0.09,7.5,10.64,355.41,291.48
MM,Maramures,Baia Mare,526449,0.285,0.607,0.316,0.459,0.407,0.17,3.31,5.56,456.49,339.83
BC,Bacau,Moinesti,610377,0.502,0.436,0.444,0.424,0.421,0.23,1.15,1.98,571.3,194.75
PH,Prahova,Campina,238767,0.551,0.459,0.27,0.381,0.419,0.21,0.18,1.23,150.32,73.27
BH,Bihor,Oradea,742124,0.417,0.382,0.297,0.423,0.37,0.24,2.48,1.59,593.99,343.24
MH,Mehedinti,Drobeta-Turnu Severin,585250,0.208,0.167,0.316,0.243,0.201,0.09,1.17,2.88,250.97,18.54
BR,Braila,Braila,499724,0.36,0.302,0.528,0.423,0.302,0.46,3.24,1.75,229.66,17.3
AG,Arges,Pitesti,847554,0.455,0.458,0.402,0.371,0.343,0.6,7.5,13.27,435.6,267.97
PH,Prahova,Sinaia,589508,0.466,0.385,0.259,0.38,0.367,0.07,0.29,2.42,479.1,169.29
DJ,Dolj,Craiova,517180,0.416,0.383,0.355,0.404,0.396,0.26,5.15,5.46,134.21,183.5
BT,Botosani,Dorohoi,901483,0.389,0.458,0.423,0.344,0.415,0.05,0.56,4.89,355.1,30.37
BV,Brasov,Fagaras,468442,0.263,0.609,0.332,0.482,0.412,0.54,0.92,6.27,401.18,255.81
BZB,Bucuresti,Sector 1,211935,0.592,0.371,0.205,0.363,0.342,0.53,0.59,1.24,583.31,51.31
BZB,Bucuresti,Sector 3,206337,0.689,0.345,0.201,0.354,0.368,0.07,1.28,1.4,599.68,32.77
BV,Brasov,Fagaras,527460,0.316,0.521,0.359,0.501,0.462,0.32,0.67,18.0,426.75,204.56
CT,Constanta,Mangalia,217761,0.35,0.231,0.533,0.688,0.321,0.11,4.12,14.54,28.77,22.01
BV,Brasov,Sacele,719643,0.325,0.537,0.393,0.478,0.428,0.05,1.47,1.72,213.72,230.89
CT,Constanta,Constanta,328259,0.374,0.256,0.566,0.594,0.366,0.63,2.97,11.15,21.77,22.0
MS,Mures,Targu Mures,547700,0.327,0.44,0.31,0.348,0.369,0.25,3.57,3.6,240.96,233.11
MM,Maramures,Baia Mare,657275,0.322,0.576,0.32,0.486,0.374,0.39,7.5,3.17,121.34,307.81
CT,Constanta,Medgidia,792403,0.447,0.27,0.662,0.56,0.372,0.06,5.47,5.08,14.75,14.7
CT,Constanta,Medgidia,522209,0.357,0.233,0.692,0.618,0.337,0.08,2.99,18.0,18.92,1.12
BZ,Buzau,Ramnicul Sarat,450141,0.416,0.386,0.423,0.405,0.369,0.83,1.27,3.74,541.01,66.09
PH,Prahova,Sinaia,859398,0.542,0.414,0.3,0.362,0.336,0.24,1.25,3.34,274.44,195.03
GL,Galati,Galati,162233,0.384,0.401,0.492,0.363,0.427,0.14,0.42,4.41,396.58,7.42
CL,Calarasi,Oltenita,936903,0.354,0.367,0.515,0.431,0.331,0.11,6.8,18.0,123.45,10.37
CJ,Cluj,Cluj-Napoca,361516,0.45,0.483,0.25,0.427,0.404,0.37,0.16,2.46,236.93,124.42
SB,Sibiu,Medias,830063,0.34,0.542,0.338,0.382,0.447,0.14,4.43,14.49,179.02,101.41
IF,Ilfov,Voluntari,585812,0.422,0.37,0.397,0.367,0.392,0.06,7.4,18.0,483.99,169.32
CT,Constanta,Constanta,130483,0.361,0.287,0.543,0.659,0.365,0.22,7.5,6.94,11.26,3.97
BZ,Buzau,Ramnicul Sarat,798684,0.38,0.348,0.325,0.422,0.354,0.21,3.35,18.0,130.02,99.77
BC,Bacau,Moinesti,530197,0.464,0.458,0.421,0.425,0.458,0.06,5.58,6.55,567.25,125.21
IS,Iasi,Pascani,229789,0.496,0.325,0.284,0.401,0.416,0.29,0.28,0.57,416.9,173.58
IF,Ilfov,Voluntari,831481,0.417,0.314,0.395,0.404,0.394,0.38,5.12,7.34,136.93,65.28
DB,Dambovita,Gaesti,328621,0.424,0.435,0.385,0.335,0.403,0.05,3.66,9.7,475.16,287.35
BV,Brasov,Fagaras,251257,0.328,0.632,0.318,0.496,0.448,0.1,2.26,3.38,576.14,135.4
DB,Dambovita,Targoviste,218825,0.379,0.448,0.382,0.422,0.352,0.21,5.2,7.26,585.11,234.61
CJ,Cluj,Cluj-Napoca,346490,0.498,0.366,0.3,0.33,0.353,0.06,0.14,0.63,256.12,114.39
BZ,Buzau,Ramnicul Sarat,255963,0.432,0.454,0.335,0.427,0.386,0.4,1.93,17.57,248.39,68.95
PH,Prahova,Campina,127368,0.43,0.373,0.263,0.318,0.391,0.09,0.2,1.64,381.09,211.88
IS,Iasi,Pascani,222060,0.627,0.404,0.325,0.373,0.322,0.16,0.48,0.34,112.18,39.44
MS,Mures,Reghin,492796,0.305,0.565,0.339,0.406,0.414,0.09,0.78,2.8,86.48,190.59
SJ,Salaj,Zalau,362704,0.409,0.464,0.359,0.389,0.414,0.12,0.53,4.86,206.19,165.67
DB,Dambovita,Targoviste,572200,0.446,0.375,0.377,0.357,0.411,0.16,2.15,16.61,284.21,42.16
BN,Bistrita-Nasaud,Nasaud,134850,0.142,0.3,0.167,0.229,0.224,0.24,1.66,3.21,390.14,146.44
CT,Constanta,Mangalia,724639,0.418,0.223,0.614,0.671,0.301,0.07,2.76,8.03,14.19,23.9
CT,Constanta,Constanta,879647,0.451,0.254,0.569,0.633,0.355,1.67,5.04,7.93,29.25,1.68
