claim_id,policy_id,product_type,loss_date,peril,status,reserve,paid,report_date,close_date,severity_band
CL-0000035,P-000199,commercial_property,2025-12-20,water_damage,closed,0.0,2604.85,2025-12-20,2026-01-06,low
CL-0000036,P-000200,auto,2025-05-09,collision,closed,0.0,7166.18,2025-05-09,2025-05-23,medium
CL-0000037,P-000200,auto,2025-10-09,comprehensive,closed,0.0,1550.04,2025-10-09,2025-10-18,low
CL-0000038,P-000210,auto,2024-07-07,collision,closed,0.0,3911.62,2024-07-07,2024-07-23,low
CL-0000039,P-000211,homeowners,2024-10-07,hail,closed,0.0,2030.81,2024-10-07,2024-10-17,medium
CL-0000040,P-000217,auto,2024-02-10,collision,closed,0.0,1746.62,2024-02-10,2024-03-06,medium
CL-0000041,P-000217,auto,2024-09-01,collision,closed,0.0,1842.79,2024-09-01,2024-09-10,low
CL-0000042,P-000219,auto,2024-11-10,comprehensive,closed,0.0,266.22,2024-11-10,2024-11-19,low
CL-0000043,P-000222,renters,2025-05-02,theft,closed,0.0,1103.35,2025-05-02,2025-05-08,low
CL-0000044,P-000228,auto,2024-12-07,comprehensive,closed,0.0,1573.06,2024-12-07,2024-12-24,high
CL-0000045,P-000239,homeowners,2024-02-19,hail,closed,0.0,5188.51,2024-02-19,2024-02-23,medium
CL-0000046,P-000240,renters,2025-01-09,water_damage,closed,0.0,2137.84,2025-01-09,2025-01-25,medium
CL-0000047,P-000259,auto,2025-03-12,collision,closed,0.0,560.44,2025-03-12,2025-04-07,medium
CL-0000048,P-000270,auto,2024-08-12,collision,open,1019.09,2413.06,2024-08-12,,low
CL-0000049,P-000270,auto,2024-02-11,collision,closed,0.0,3680.97,2024-02-11,2024-02-26,medium
CL-0000050,P-000282,renters,2025-04-21,theft,closed,0.0,601.6,2025-04-21,2025-05-10,medium
CL-0000051,P-000283,homeowners,2025-02-03,hail,closed,0.0,6364.61,2025-02-03,2025-02-13,medium
CL-0000052,P-000284,auto,2024-03-25,comprehensive,closed,0.0,1708.34,2024-03-25,2024-04-04,medium
CL-0000053,P-000290,auto,2024-09-28,comprehensive,closed,0.0,1369.28,2024-09-28,2024-10-18,low
CL-0000054,P-000295,renters,2024-02-09,theft,open,1009.58,2448.57,2024-02-09,,low
CL-0000055,P-000301,auto,2025-07-28,collision,closed,0.0,5446.16,2025-07-28,2025-08-17,medium
CL-0000056,P-000322,auto,2025-12-28,collision,closed,0.0,6022.45,2025-12-28,2026-01-16,low
CL-0000057,P-000323,auto,2024-04-07,collision,open,1751.31,2663.14,2024-04-07,,low
CL-0000058,P-000324,homeowners,2025-06-13,theft,closed,0.0,2505.42,2025-06-13,2025-06-23,low
CL-0000059,P-000327,auto,2025-01-28,collision,closed,0.0,8619.23,2025-01-28,2025-02-14,low
CL-0000060,P-000334,auto,2024-10-17,collision,denied,0.0,0.0,2024-10-17,2024-10-21,low
CL-0000061,P-000337,homeowners,2024-01-02,fire,closed,0.0,1441.2,2024-01-02,2024-01-12,medium
CL-0000062,P-000341,homeowners,2025-11-16,fire,closed,0.0,4545.25,2025-11-16,2025-12-05,cat
CL-0000063,P-000353,auto,2024-09-23,comprehensive,open,558.07,1787.52,2024-09-23,,medium
CL-0000064,P-000354,auto,2025-02-03,comprehensive,open,2457.85,3472.76,2025-02-03,,medium
CL-0000065,P-000360,homeowners,2025-10-21,hail,closed,0.0,3313.01,2025-10-21,2025-11-02,medium
CL-0000066,P-000363,auto,2025-01-19,collision,closed,0.0,4125.61,2025-01-19,2025-01-30,low
CL-0000067,P-000364,auto,2025-01-02,collision,open,208.61,764.4,2025-01-02,,medium
CL-0000068,P-000369,auto,2025-07-05,collision,closed,0.0,794.85,2025-07-05,2025-07-11,medium
CL-0000069,P-000375,auto,2025-07-26,comprehensive,closed,0.0,2449.31,2025-07-26,2025-08-05,high
CL-0000070,P-000376,auto,2025-06-27,collision,closed,0.0,8729.99,2025-06-27,2025-07-26,low
CL-0000071,P-000379,homeowners,2025-07-02,fire,closed,0.0,9532.13,2025-07-02,2025-07-18,low
CL-0000072,P-000382,auto,2024-08-24,comprehensive,open,563.49,897.37,2024-08-24,,low
CL-0000073,P-000385,commercial_property,2024-03-22,fire,closed,0.0,6096.79,2024-03-22,2024-03-30,medium
CL-0000074,P-000388,auto,2024-01-11,comprehensive,open,1422.42,4406.8,2024-01-11,,medium
CL-0000075,P-000388,auto,2025-02-28,collision,closed,0.0,1996.81,2025-02-28,2025-03-05,low
CL-0000076,P-000389,auto,2026-03-28,collision,closed,0.0,809.97,2026-03-28,2026-04-13,high
CL-0000077,P-000400,auto,2024-07-17,comprehensive,open,379.85,1334.98,2024-07-17,,low
CL-0000078,P-000422,homeowners,2024-10-10,water_damage,open,1242.13,1822.35,2024-10-10,,low
CL-0000079,P-000424,auto,2025-07-28,collision,closed,0.0,761.67,2025-07-28,2025-08-10,medium
CL-0000080,P-000427,homeowners,2025-11-24,fire,open,12524.96,27631.94,2025-11-24,,high
CL-0000081,P-000428,homeowners,2025-03-17,fire,open,10837.75,14397.12,2025-03-17,,low
CL-0000082,P-000430,auto,2025-11-14,comprehensive,closed,0.0,5177.84,2025-11-14,2025-11-23,cat
CL-0000083,P-000437,renters,2025-03-23,water_damage,open,3109.75,4698.31,2025-03-23,,low
CL-0000084,P-000438,auto,2024-11-21,collision,closed,0.0,1609.21,2024-11-21,2024-12-02,low
CL-0000085,P-000442,auto,2024-03-02,comprehensive,open,566.68,1110.03,2024-03-02,,medium
CL-0000086,P-000442,auto,2024-08-22,comprehensive,open,2535.69,3067.07,2024-08-22,,high
CL-0000087,P-000442,auto,2025-07-28,collision,closed,0.0,1766.28,2025-07-28,2025-08-03,cat
CL-0000088,P-000444,auto,2024-02-23,theft,closed,0.0,474.51,2024-02-23,2024-03-17,low
CL-0000089,P-000447,auto,2024-12-12,collision,closed,0.0,3974.31,2024-12-12,2024-12-16,medium
CL-0000090,P-000450,auto,2024-07-05,collision,open,1063.99,4457.58,2024-07-05,,low
CL-0000091,P-000451,homeowners,2025-06-04,hail,open,5690.05,6011.68,2025-06-04,,high
CL-0000092,P-000451,homeowners,2025-08-11,hail,closed,0.0,3255.87,2025-08-11,2025-08-27,medium
CL-0000093,P-000452,commercial_property,2025-04-23,theft,closed,0.0,1949.52,2025-04-23,2025-05-16,low
CL-0000094,P-000456,auto,2025-03-13,collision,closed,0.0,3907.57,2025-03-13,2025-03-24,low
CL-0000095,P-000457,auto,2025-03-02,collision,closed,0.0,1842.48,2025-03-02,2025-03-05,low
CL-0000096,P-000459,auto,2025-04-20,collision,open,260.58,1054.93,2025-04-20,,low
CL-0000097,P-000476,auto,2024-11-06,comprehensive,closed,0.0,1114.35,2024-11-06,2024-11-17,high
CL-0000098,P-000484,auto,2025-10-14,comprehensive,open,445.34,781.67,2025-10-14,,low
CL-0000099,P-000493,auto,2025-12-13,collision,closed,0.0,2901.13,2025-12-13,2025-12-29,high
CL-0000100,P-000497,auto,2024-01-15,collision,open,1682.88,5275.33,2024-01-15,,low
CL-0000101,P-000499,homeowners,2025-08-08,hail,closed,0.0,2008.06,2025-08-08,2025-08-28,high
CL-0000102,P-000501,auto,2025-10-23,collision,open,1189.33,2780.55,2025-10-23,,low
CL-0000103,P-000502,auto,2024-06-07,comprehensive,closed,0.0,2424.12,2024-06-07,2024-06-23,low
CL-0000104,P-000504,renters,2024-06-14,water_damage,closed,0.0,5398.34,2024-06-14,2024-06-18,low
CL-0000105,P-000519,renters,2024-07-23,theft,closed,0.0,4518.57,2024-07-23,2024-08-05,medium
CL-0000106,P-000523,auto,2025-06-26,comprehensive,closed,0.0,4816.7,2025-06-26,2025-07-22,medium
CL-0000107,P-000530,commercial_property,2024-03-23,fire,closed,0.0,17117.02,2024-03-23,2024-03-27,medium
CL-0000108,P-000533,homeowners,2025-09-19,theft,closed,0.0,902.49,2025-09-19,2025-09-30,low
CL-0000109,P-000540,homeowners,2025-06-05,hail,denied,0.0,0.0,2025-06-05,2025-06-23,low
CL-0000110,P-000543,auto,2024-12-22,comprehensive,open,9149.85,14592.56,2024-12-22,,low
CL-0000111,P-000552,commercial_property,2025-09-10,fire,open,4156.49,7987.53,2025-09-10,,low
CL-0000112,P-000559,auto,2024-12-01,collision,closed,0.0,2030.02,2024-12-01,2024-12-11,low
CL-0000113,P-000561,auto,2025-06-11,collision,closed,0.0,1117.83,2025-06-11,2025-06-18,medium
CL-0000114,P-000571,homeowners,2025-06-06,hail,closed,0.0,1284.61,2025-06-06,2025-06-10,low
CL-0000115,P-000571,homeowners,2025-12-25,hail,closed,0.0,3369.07,2025-12-25,2026-01-07,medium
CL-0000116,P-000573,auto,2025-02-03,collision,closed,0.0,1851.8,2025-02-03,2025-02-19,low
CL-0000117,P-000579,auto,2025-05-23,comprehensive,closed,0.0,6310.38,2025-05-23,2025-06-06,medium
CL-0000118,P-000580,commercial_property,2025-09-25,theft,open,579.52,1751.87,2025-09-25,,medium
CL-0000119,P-000588,homeowners,2025-08-27,theft,open,105.34,255.07,2025-08-27,,low
CL-0000120,P-000588,homeowners,2025-11-20,hail,closed,0.0,7751.29,2025-11-20,2025-12-15,high
CL-0000121,P-000591,homeowners,2024-07-03,hail,closed,0.0,7380.93,2024-07-03,2024-07-21,cat
CL-0000122,P-000597,auto,2024-10-05,comprehensive,closed,0.0,503.92,2024-10-05,2024-10-07,low
CL-0000123,P-000614,commercial_property,2024-05-27,water_damage,open,1180.09,1688.42,2024-05-27,,medium
CL-0000124,P-000621,auto,2025-04-28,comprehensive,closed,0.0,1226.63,2025-04-28,2025-05-08,medium
CL-0000125,P-000631,auto,2025-06-22,collision,closed,0.0,1847.64,2025-06-22,2025-07-02,medium
CL-0000126,P-000632,auto,2024-02-28,collision,open,939.79,1434.6,2024-02-28,,low
CL-0000127,P-000632,auto,2024-02-28,theft,closed,0.0,2520.29,2024-02-28,2024-03-08,low
CL-0000128,P-000640,auto,2025-08-18,comprehensive,denied,0.0,0.0,2025-08-18,2025-08-28,high
CL-0000129,P-000643,auto,2025-06-10,collision,closed,0.0,2012.93,2025-06-10,2025-07-14,medium
CL-0000130,P-000652,auto,2025-05-06,collision,closed,0.0,1260.96,2025-05-06,2025-05-16,high
CL-0000131,P-000653,auto,2024-12-27,collision,closed,0.0,1194.61,2024-12-27,2025-01-04,low
CL-0000132,P-000656,auto,2024-05-10,collision,closed,0.0,1438.14,2024-05-10,2024-05-20,medium
CL-0000133,P-000662,auto,2025-07-12,collision,closed,0.0,1523.26,2025-07-12,2025-07-20,low
CL-0000134,P-000665,homeowners,2024-02-12,hail,closed,0.0,3839.73,2024-02-12,2024-02-20,high
CL-0000135,P-000681,homeowners,2024-02-06,water_damage,closed,0.0,1934.49,2024-02-06,2024-02-21,medium
CL-0000136,P-000681,homeowners,2024-12-14,theft,closed,0.0,2518.99,2024-12-14,2024-12-26,medium
CL-0000137,P-000705,auto,2024-02-24,collision,closed,0.0,2264.62,2024-02-24,2024-03-21,low
CL-0000138,P-000707,auto,2025-03-20,comprehensive,closed,0.0,885.78,2025-03-20,2025-04-21,low
CL-0000139,P-000708,homeowners,2025-09-04,water_damage,closed,0.0,1038.69,2025-09-04,2025-09-11,low
CL-0000140,P-000720,auto,2025-12-26,comprehensive,closed,0.0,123.68,2025-12-26,2026-01-05,low
CL-0000141,P-000725,commercial_property,2025-08-04,water_damage,closed,0.0,2501.71,2025-08-04,2025-08-31,low
CL-0000142,P-000726,homeowners,2024-05-14,theft,closed,0.0,1218.35,2024-05-14,2024-05-22,low
CL-0000143,P-000727,renters,2025-01-04,theft,denied,0.0,0.0,2025-01-04,2025-01-17,medium
CL-0000144,P-000729,auto,2024-09-17,collision,closed,0.0,4344.18,2024-09-17,2024-10-09,medium
CL-0000145,P-000731,homeowners,2025-06-01,hail,closed,0.0,1973.26,2025-06-01,2025-06-16,low
CL-0000146,P-000734,auto,2025-06-28,collision,closed,0.0,5050.2,2025-06-28,2025-07-05,low
CL-0000147,P-000738,auto,2025-06-28,collision,closed,0.0,1943.78,2025-06-28,2025-07-05,low
CL-0000148,P-000742,auto,2024-02-24,collision,open,2215.0,3531.92,2024-02-24,,low
CL-0000149,P-000749,auto,2024-04-19,comprehensive,closed,0.0,2696.44,2024-04-19,2024-04-21,medium
CL-0000150,P-000750,auto,2025-10-24,collision,closed,0.0,5932.74,2025-10-24,2025-10-27,medium
CL-0000151,P-000756,auto,2025-08-20,collision,closed,0.0,2466.27,2025-08-20,2025-09-14,low
CL-0000152,P-000760,auto,2025-09-11,collision,closed,0.0,1615.48,2025-09-11,2025-09-16,low
CL-0000153,P-000761,auto,2025-12-18,comprehensive,closed,0.0,743.86,2025-12-18,2025-12-19,high
CL-0000154,P-000762,auto,2024-10-20,collision,closed,0.0,518.45,2024-10-20,2024-10-28,low
CL-0000155,P-000764,homeowners,2024-09-19,hail,closed,0.0,5484.9,2024-09-19,2024-10-04,medium
CL-0000156,P-000765,auto,2024-10-13,collision,closed,0.0,1932.62,2024-10-13,2024-10-27,low
CL-0000157,P-000772,homeowners,2025-02-05,theft,denied,0.0,0.0,2025-02-05,2025-02-24,medium
CL-0000158,P-000777,homeowners,2025-08-09,hail,open,2122.34,4086.53,2025-08-09,,low
CL-0000159,P-000782,homeowners,2024-09-07,fire,closed,0.0,774.29,2024-09-07,2024-09-23,medium
CL-0000160,P-000782,homeowners,2024-08-25,hail,denied,0.0,0.0,2024-08-25,2024-08-26,medium
CL-0000161,P-000784,auto,2024-04-04,collision,closed,0.0,2598.26,2024-04-04,2024-04-12,high
CL-0000162,P-000789,auto,2024-03-28,collision,closed,0.0,3544.04,2024-03-28,2024-04-06,low
CL-0000163,P-000803,auto,2025-09-28,collision,closed,0.0,1509.71,2025-09-28,2025-10-06,high
CL-0000164,P-000811,homeowners,2025-07-13,hail,open,1167.34,4390.76,2025-07-13,,cat
CL-0000165,P-000816,auto,2024-11-28,collision,closed,0.0,938.92,2024-11-28,2024-12-05,medium
CL-0000166,P-000818,auto,2024-01-18,collision,closed,0.0,1831.34,2024-01-18,2024-01-29,high
CL-0000167,P-000822,auto,2024-07-26,theft,closed,0.0,457.66,2024-07-26,2024-09-01,low
CL-0000168,P-000822,auto,2024-10-03,collision,closed,0.0,19376.83,2024-10-03,2024-10-22,high
CL-0000169,P-000843,auto,2026-08-06,collision,closed,0.0,1131.44,2026-08-06,2026-09-12,low
CL-0000170,P-000856,auto,2025-07-04,theft,closed,0.0,7874.51,2025-07-04,2025-07-19,medium
CL-0000171,P-000857,homeowners,2025-12-13,theft,closed,0.0,1875.08,2025-12-13,2026-01-22,medium
CL-0000172,P-000858,auto,2024-09-27,theft,closed,0.0,141.99,2024-09-27,2024-10-10,medium
CL-0000173,P-000861,homeowners,2024-03-28,water_damage,closed,0.0,2607.33,2024-03-28,2024-04-08,low
CL-0000174,P-000863,homeowners,2024-05-10,hail,closed,0.0,807.3,2024-05-10,2024-05-27,medium
CL-0000175,P-000870,auto,2024-09-23,collision,closed,0.0,2991.72,2024-09-23,2024-10-10,low
CL-0000176,P-000872,auto,2025-10-08,collision,open,568.56,1239.74,2025-10-08,,high
CL-0000177,P-000874,homeowners,2025-05-03,water_damage,closed,0.0,4722.55,2025-05-03,2025-05-29,low
CL-0000178,P-000876,auto,2024-09-11,collision,closed,0.0,1765.83,2024-09-11,2024-10-01,high
CL-0000179,P-000881,auto,2024-02-28,collision,closed,0.0,918.2,2024-02-28,2024-03-03,medium
CL-0000180,P-000884,auto,2025-06-22,collision,closed,0.0,1648.76,2025-06-22,2025-07-04,high
CL-0000181,P-000896,auto,2024-10-16,collision,closed,0.0,2362.38,2024-10-16,2024-11-05,medium
CL-0000182,P-000896,auto,2024-05-07,collision,closed,0.0,970.8,2024-05-07,2024-05-26,low
CL-0000183,P-000902,homeowners,2025-12-04,water_damage,closed,0.0,2757.63,2025-12-04,2025-12-10,medium
CL-0000184,P-000904,auto,2024-12-17,comprehensive,closed,0.0,1386.62,2024-12-17,2024-12-22,high
CL-0000185,P-000907,auto,2024-08-14,collision,closed,0.0,1946.84,2024-08-14,2024-08-26,low
CL-0000186,P-000910,homeowners,2025-07-20,hail,closed,0.0,4483.42,2025-07-20,2025-08-01,low
CL-0000187,P-000916,auto,2024-05-16,collision,closed,0.0,1269.42,2024-05-16,2024-06-16,medium
CL-0000188,P-000917,auto,2025-02-03,collision,open,4580.55,7591.29,2025-02-03,,low
CL-0000189,P-000927,auto,2024-10-02,collision,closed,0.0,1802.57,2024-10-02,2024-10-12,high
CL-0000190,P-000929,auto,2024-07-28,collision,closed,0.0,6423.21,2024-07-28,2024-08-20,low
CL-0000191,P-000931,auto,2025-01-02,theft,closed,0.0,642.89,2025-01-02,2025-01-12,low
CL-0000192,P-000938,auto,2024-05-18,comprehensive,open,692.43,846.24,2024-05-18,,medium
CL-0000193,P-000945,homeowners,2024-04-05,water_damage,closed,0.0,1874.19,2024-04-05,2024-05-01,medium
CL-0000194,P-000946,auto,2024-10-04,comprehensive,closed,0.0,1905.93,2024-10-04,2024-10-30,medium
CL-0000195,P-000948,commercial_property,2024-03-28,fire,closed,0.0,7481.36,2024-03-28,2024-04-01,medium
CL-0000196,P-000956,homeowners,2025-04-01,hail,closed,0.0,1539.02,2025-04-01,2025-04-24,low
CL-0000197,P-000959,auto,2024-10-08,collision,closed,0.0,1021.75,2024-10-08,2024-10-21,medium
CL-0000198,P-000963,commercial_property,2024-05-17,fire,closed,0.0,6992.99,2024-05-17,2024-05-24,low
CL-0000199,P-000965,homeowners,2025-06-27,hail,closed,0.0,889.6,2025-06-27,2025-06-30,high
CL-0000200,P-000977,auto,2025-09-20,collision,closed,0.0,2185.74,2025-09-20,2025-10-01,medium
CL-0000201,P-000979,homeowners,2024-10-15,hail,closed,0.0,1693.08,2024-10-15,2024-10-23,medium
CL-0000202,P-000985,auto,2024-07-01,collision,closed,0.0,2036.56,2024-07-01,2024-07-05,medium
CL-0000203,P-000988,homeowners,2025-01-11,water_damage,closed,0.0,2235.16,2025-01-11,2025-01-17,medium
CL-0000204,P-000991,auto,2024-05-24,collision,denied,0.0,0.0,2024-05-24,2024-06-23,medium
CL-0000205,P-000998,auto,2024-06-11,collision,open,1047.83,1677.62,2024-06-11,,medium
CL-0000206,P-001011,auto,2025-11-28,comprehensive,closed,0.0,4415.65,2025-11-28,2025-11-29,low
CL-0000207,P-001012,homeowners,2024-07-09,fire,closed,0.0,1713.23,2024-07-09,2024-07-30,medium
CL-0000208,P-001012,homeowners,2024-11-02,hail,closed,0.0,4260.8,2024-11-02,2024-12-05,medium
CL-0000209,P-001020,auto,2025-05-27,theft,open,735.87,956.91,2025-05-27,,medium
CL-0000210,P-001021,homeowners,2025-08-21,hail,closed,0.0,6435.37,2025-08-21,2025-09-01,low
CL-0000211,P-001021,homeowners,2024-08-06,water_damage,closed,0.0,1953.95,2024-08-06,2024-08-27,medium
CL-0000212,P-001023,auto,2025-08-16,collision,open,1395.89,2123.71,2025-08-16,,high
CL-0000213,P-001030,auto,2024-08-03,theft,closed,0.0,1693.57,2024-08-03,2024-08-23,low
CL-0000214,P-001032,commercial_property,2024-01-24,theft,closed,0.0,2302.38,2024-01-24,2024-02-01,low
CL-0000215,P-001033,auto,2025-08-07,collision,open,696.09,1045.07,2025-08-07,,low
CL-0000216,P-001041,auto,2024-11-05,collision,open,759.24,2225.82,2024-11-05,,high
CL-0000217,P-001061,homeowners,2024-10-18,water_damage,denied,0.0,0.0,2024-10-18,2024-11-01,low
CL-0000218,P-001061,homeowners,2025-07-08,hail,closed,0.0,1636.12,2025-07-08,2025-07-27,medium
CL-0000219,P-001061,homeowners,2024-07-24,hail,open,2118.25,3009.89,2024-07-24,,medium
CL-0000220,P-001066,auto,2024-05-18,comprehensive,closed,0.0,686.05,2024-05-18,2024-05-31,low
CL-0000221,P-001068,auto,2024-11-01,collision,open,5427.64,9853.42,2024-11-01,,medium
CL-0000222,P-001069,auto,2025-03-14,comprehensive,closed,0.0,9018.21,2025-03-14,2025-03-25,medium
CL-0000223,P-001070,homeowners,2025-03-28,hail,closed,0.0,1941.76,2025-03-28,2025-04-20,low
CL-0000224,P-001071,homeowners,2025-08-23,hail,closed,0.0,4858.48,2025-08-23,2025-09-02,medium
CL-0000225,P-001077,homeowners,2025-07-02,fire,closed,0.0,5155.67,2025-07-02,2025-07-17,high
CL-0000226,P-001088,auto,2024-12-06,theft,open,336.63,906.13,2024-12-06,,low
CL-0000227,P-001094,renters,2024-11-28,fire,closed,0.0,7302.09,2024-11-28,2024-12-20,low
CL-0000228,P-001100,auto,2025-09-03,collision,closed,0.0,984.8,2025-09-03,2025-09-19,medium
CL-0000229,P-001110,homeowners,2025-03-12,theft,closed,0.0,1258.06,2025-03-12,2025-03-31,low
CL-0000230,P-001110,homeowners,2024-10-28,hail,open,762.9,2310.48,2024-10-28,,low
CL-0000231,P-001111,auto,2025-05-20,collision,closed,0.0,1413.54,2025-05-20,2025-06-16,medium
CL-0000232,P-001114,commercial_property,2024-05-05,fire,closed,0.0,2503.44,2024-05-05,2024-05-27,cat
CL-0000233,P-001126,homeowners,2025-12-10,hail,closed,0.0,4264.45,2025-12-10,2025-12-21,medium
CL-0000234,P-001131,auto,2025-09-13,collision,open,54.35,199.23,2025-09-13,,low
CL-0000235,P-001131,auto,2025-12-16,comprehensive,closed,0.0,2413.94,2025-12-16,2026-01-04,low
CL-0000236,P-001133,homeowners,2024-06-25,water_damage,closed,0.0,1386.97,2024-06-25,2024-07-06,high
CL-0000237,P-001134,auto,2024-12-28,collision,closed,0.0,2003.61,2024-12-28,2025-01-10,medium
CL-0000238,P-001138,homeowners,2025-01-05,theft,closed,0.0,264.91,2025-01-05,2025-01-23,high
CL-0000239,P-001139,auto,2024-09-28,collision,open,3968.98,6179.11,2024-09-28,,low
CL-0000240,P-001142,auto,2024-06-13,comprehensive,closed,0.0,4351.9,2024-06-13,2024-06-27,low
CL-0000241,P-001144,homeowners,2025-10-05,theft,closed,0.0,270.03,2025-10-05,2025-10-13,low
CL-0000242,P-001152,auto,2024-12-02,collision,closed,0.0,2430.66,2024-12-02,2024-12-26,medium
CL-0000243,P-001158,auto,2024-08-27,collision,closed,0.0,3402.67,2024-08-27,2024-09-13,low
CL-0000244,P-001162,auto,2024-10-21,comprehensive,closed,0.0,2493.06,2024-10-21,2024-11-16,low
CL-0000245,P-001165,auto,2025-02-28,collision,closed,0.0,1280.38,2025-02-28,2025-03-12,low
CL-0000246,P-001169,auto,2025-06-03,collision,closed,0.0,4542.87,2025-06-03,2025-06-16,medium
CL-0000247,P-001170,auto,2025-06-19,comprehensive,closed,0.0,2410.7,2025-06-19,2025-07-03,medium
CL-0000248,P-001172,homeowners,2024-04-05,water_damage,open,1406.43,2165.99,2024-04-05,,low
CL-0000249,P-001174,auto,2024-12-22,collision,closed,0.0,1350.35,2024-12-22,2024-12-27,low
CL-0000250,P-001178,homeowners,2024-04-01,hail,closed,0.0,3618.8,2024-04-01,2024-04-06,low
CL-0000251,P-001180,homeowners,2025-12-20,hail,closed,0.0,5565.69,2025-12-20,2025-12-23,low
CL-0000252,P-001183,homeowners,2025-09-20,hail,closed,0.0,1186.53,2025-09-20,2025-09-24,low
CL-0000253,P-001186,auto,2024-03-14,comprehensive,closed,0.0,3038.0,2024-03-14,2024-04-03,medium
CL-0000254,P-001198,homeowners,2025-10-17,water_damage,closed,0.0,874.03,2025-10-17,2025-10-27,medium
CL-0000255,P-001204,auto,2025-01-13,collision,open,360.6,451.89,2025-01-13,,low
CL-0000256,P-001209,auto,2025-11-26,collision,closed,0.0,1983.3,2025-11-26,2025-12-03,medium
CL-0000257,P-001209,auto,2025-05-21,collision,denied,0.0,0.0,2025-05-21,2025-06-01,medium
CL-0000258,P-001216,auto,2025-09-18,collision,closed,0.0,1048.72,2025-09-18,2025-10-12,low
CL-0000259,P-001223,homeowners,2025-11-27,hail,closed,0.0,5287.9,2025-11-27,2025-12-07,medium
CL-0000260,P-001225,auto,2024-10-12,collision,closed,0.0,1733.46,2024-10-12,2024-10-30,cat
CL-0000261,P-001231,auto,2025-09-19,collision,open,330.33,987.21,2025-09-19,,low
