vehicle_id,policy_id,make,model,year,annual_mileage,telematics_score,night_driving_pct,hard_brakes_per_100km,overspeed_events_per_100km,phone_use_pct
V-000097,P-000097,Toyota,Corolla,2024,12127,95.6,0.212,3.2,6.2,0.56
V-000101,P-000101,Renault,Megane,2024,12180,85.8,0.058,0.8,4.0,0.495
V-000102,P-000102,Volkswagen,Polo,2013,13689,61.0,0.315,0.3,3.7,0.034
V-000106,P-000106,Renault,Captur,2021,14274,75.8,0.51,5.3,0.4,0.393
V-000107,P-000107,Renault,Megane,2008,16043,77.3,0.226,5.0,0.3,0.217
V-000108,P-000108,Dacia,Sandero,2006,9639,82.2,0.285,4.1,3.6,0.302
V-000111,P-000111,Skoda,Octavia,2016,18853,78.3,0.343,3.9,0.6,0.375
V-000113,P-000113,Toyota,RAV4,2006,17496,78.8,0.319,0.3,0.2,0.055
V-000115,P-000115,Toyota,RAV4,2022,13899,78.8,0.201,8.2,6.9,0.479
V-000116,P-000116,Skoda,Fabia,2013,24581,66.6,0.738,0.9,2.4,0.255
V-000119,P-000119,Skoda,Superb,2020,18529,74.4,0.45,6.6,2.5,0.373
V-000120,P-000120,Dacia,Logan,2024,15210,71.5,0.219,2.9,3.5,0.329
V-000121,P-000121,Toyota,Corolla,2014,2000,75.8,0.316,1.6,3.0,0.264
V-000122,P-000122,Skoda,Fabia,2009,18077,78.8,0.353,0.4,1.0,0.347
V-000123,P-000123,Toyota,RAV4,2015,8367,61.2,0.101,0.4,0.0,0.165
V-000124,P-000124,Volkswagen,Golf,2014,15659,66.8,0.162,3.7,0.7,0.263
V-000131,P-000131,Volkswagen,Polo,2024,5611,70.7,0.155,2.7,2.6,0.294
V-000132,P-000132,Dacia,Duster,2017,9571,75.9,0.614,5.5,0.6,0.077
V-000134,P-000134,Dacia,Duster,2021,19415,81.1,0.193,6.9,2.2,0.146
V-000136,P-000136,Volkswagen,Golf,2021,8924,64.0,0.129,8.4,6.2,0.258
V-000137,P-000137,Skoda,Octavia,2008,6434,63.6,0.148,6.9,1.7,0.225
V-000139,P-000139,Skoda,Superb,2012,5311,77.3,0.12,7.7,1.7,0.431
V-000140,P-000140,Dacia,Sandero,2020,22782,62.9,0.153,2.1,1.9,0.423
V-000141,P-000141,Toyota,Yaris,2013,10853,58.4,0.378,2.9,0.3,0.423
V-000142,P-000142,Renault,Captur,2016,12258,66.9,0.236,1.2,1.5,0.34
V-000143,P-000143,Renault,Megane,2007,10164,71.3,0.556,10.1,0.7,0.165
V-000144,P-000144,Renault,Megane,2012,11940,70.2,0.073,4.9,3.8,0.548
V-000145,P-000145,Renault,Clio,2006,12288,65.7,0.398,0.7,1.0,0.208
V-000146,P-000146,Dacia,Logan,2009,6317,82.4,0.473,4.6,2.0,0.241
V-000148,P-000148,Renault,Megane,2017,18726,73.1,0.289,8.2,0.2,0.191
V-000151,P-000151,Dacia,Logan,2006,17642,70.2,0.286,3.4,1.5,0.045
V-000153,P-000153,Volkswagen,Passat,2022,16113,71.3,0.327,0.3,0.7,0.301
V-000155,P-000155,Toyota,RAV4,2023,20942,61.0,0.283,1.7,0.8,0.308
V-000158,P-000158,Volkswagen,Polo,2011,14356,62.6,0.357,4.8,5.4,0.108
V-000161,P-000161,Dacia,Duster,2019,4025,69.2,0.453,9.1,1.3,0.391
V-000163,P-000163,Toyota,Corolla,2015,6678,76.6,0.381,1.7,4.7,0.628
V-000166,P-000166,Skoda,Octavia,2024,11259,72.4,0.191,0.4,1.2,0.202
V-000167,P-000167,Renault,Clio,2005,21372,78.2,0.171,7.6,1.0,0.337
V-000168,P-000168,Toyota,RAV4,2018,11975,86.9,0.199,3.2,0.4,0.237
V-000170,P-000170,Toyota,RAV4,2007,2244,68.2,0.318,14.4,2.0,0.369
V-000173,P-000173,Toyota,Corolla,2021,22241,72.9,0.398,5.7,1.7,0.392
V-000175,P-000175,Skoda,Octavia,2020,17563,61.3,0.294,8.7,3.0,0.559
V-000178,P-000178,Dacia,Sandero,2022,9430,68.7,0.328,8.0,4.9,0.425
V-000179,P-000179,Dacia,Logan,2020,10776,66.4,0.169,3.2,0.6,0.265
V-000181,P-000181,Renault,Clio,2011,8451,76.8,0.178,6.7,0.2,0.265
V-000183,P-000183,Toyota,RAV4,2012,4468,57.6,0.212,0.4,2.0,0.088
V-000186,P-000186,Dacia,Sandero,2009,11493,69.9,0.061,8.9,1.6,0.314
V-000187,P-000187,Toyota,Yaris,2018,26842,69.7,0.429,4.1,0.7,0.337
V-000188,P-000188,Skoda,Octavia,2014,9957,60.6,0.427,9.8,1.0,0.294
V-000190,P-000190,Skoda,Fabia,2008,14644,71.0,0.193,1.1,4.3,0.404
V-000191,P-000191,Toyota,RAV4,2008,9115,52.7,0.33,1.2,0.6,0.149
V-000193,P-000193,Volkswagen,Golf,2013,17135,78.2,0.174,5.1,3.0,0.146
V-000195,P-000195,Skoda,Superb,2008,2000,82.0,0.525,3.5,0.4,0.149
V-000196,P-000196,Dacia,Duster,2019,6710,80.7,0.52,7.1,2.6,0.237
V-000197,P-000197,Volkswagen,Polo,2005,6836,63.9,0.536,4.0,3.0,0.651
V-000200,P-000200,Dacia,Sandero,2017,7647,69.5,0.132,2.4,1.0,0.097
V-000202,P-000202,Toyota,Corolla,2010,3464,89.2,0.709,0.7,4.0,0.135
V-000203,P-000203,Dacia,Duster,2006,6194,82.3,0.289,5.9,0.4,0.384
V-000207,P-000207,Toyota,Corolla,2016,11220,72.4,0.172,6.4,5.7,0.367
V-000208,P-000208,Dacia,Sandero,2007,8266,62.1,0.126,5.1,1.5,0.206
V-000210,P-000210,Skoda,Octavia,2018,11319,79.0,0.067,2.9,0.7,0.142
V-000212,P-000212,Dacia,Duster,2014,15111,59.1,0.303,1.0,3.3,0.071
V-000213,P-000213,Toyota,Corolla,2016,9932,69.9,0.312,1.9,0.1,0.269
V-000215,P-000215,Skoda,Fabia,2006,7165,81.3,0.303,4.9,1.2,0.416
V-000217,P-000217,Volkswagen,Golf,2008,10193,75.3,0.355,17.6,1.6,0.077
V-000219,P-000219,Renault,Captur,2019,7388,71.0,0.124,4.9,4.1,0.146
V-000220,P-000220,Toyota,Yaris,2016,7847,59.3,0.22,1.3,3.6,0.177
V-000223,P-000223,Volkswagen,Golf,2021,7617,49.4,0.649,5.1,0.1,0.157
V-000225,P-000225,Toyota,RAV4,2020,20961,76.6,0.407,2.7,7.8,0.076
V-000227,P-000227,Toyota,Corolla,2013,6309,61.5,0.105,3.3,1.2,0.198
V-000228,P-000228,Renault,Captur,2012,16322,67.3,0.524,2.7,0.1,0.19
V-000229,P-000229,Volkswagen,Passat,2020,12652,37.2,0.166,4.2,0.5,0.428
V-000230,P-000230,Skoda,Fabia,2020,16873,62.0,0.142,2.9,0.9,0.375
V-000235,P-000235,Skoda,Fabia,2012,12138,69.3,0.605,1.6,0.6,0.373
V-000236,P-000236,Volkswagen,Golf,2015,9057,67.5,0.032,9.2,4.4,0.3
V-000247,P-000247,Dacia,Logan,2019,16204,84.2,0.058,6.2,4.3,0.304
V-000250,P-000250,Renault,Clio,2007,10854,55.7,0.339,4.8,2.2,0.331
V-000255,P-000255,Toyota,Corolla,2007,2000,69.2,0.026,3.1,1.8,0.117
V-000259,P-000259,Volkswagen,Polo,2006,14065,76.6,0.159,4.7,3.2,0.336
V-000262,P-000262,Dacia,Duster,2012,2000,87.3,0.329,1.6,1.3,0.315
V-000263,P-000263,Toyota,Corolla,2012,3030,93.3,0.228,1.5,3.1,0.256
V-000265,P-000265,Toyota,Yaris,2021,5638,85.1,0.137,7.4,1.2,0.117
V-000269,P-000269,Dacia,Sandero,2016,19229,75.6,0.224,2.8,3.1,0.085
V-000270,P-000270,Volkswagen,Passat,2010,8882,67.8,0.185,1.0,3.3,0.267
V-000272,P-000272,Toyota,Yaris,2006,5326,60.1,0.429,4.5,0.8,0.402
V-000273,P-000273,Skoda,Superb,2009,2000,62.3,0.521,14.9,1.8,0.186
V-000279,P-000279,Dacia,Duster,2022,14370,65.2,0.039,3.1,1.9,0.337
V-000284,P-000284,Renault,Captur,2008,26651,76.7,0.273,1.2,1.1,0.256
V-000285,P-000285,Toyota,RAV4,2011,7869,82.8,0.464,4.5,1.1,0.096
V-000287,P-000287,Toyota,RAV4,2018,20250,62.7,0.471,7.0,6.7,0.597
V-000290,P-000290,Skoda,Superb,2017,3377,67.5,0.263,2.9,0.5,0.192
V-000297,P-000297,Skoda,Fabia,2019,9369,71.3,0.256,3.3,0.0,0.545
V-000298,P-000298,Toyota,Yaris,2016,15127,56.2,0.2,9.9,2.1,0.3
V-000299,P-000299,Renault,Megane,2011,12014,95.3,0.412,0.9,0.9,0.32
V-000301,P-000301,Toyota,RAV4,2017,10665,51.7,0.055,4.8,0.6,0.08
V-000302,P-000302,Volkswagen,Polo,2018,15725,80.8,0.526,1.9,1.1,0.082
V-000308,P-000308,Renault,Captur,2011,18048,60.8,0.117,3.2,3.8,0.127
V-000309,P-000309,Skoda,Fabia,2010,2000,59.8,0.029,7.0,1.9,0.298
V-000311,P-000311,Skoda,Octavia,2006,17261,68.4,0.308,0.8,6.9,0.185
V-000312,P-000312,Volkswagen,Polo,2024,7669,69.4,0.407,10.9,0.5,0.218
V-000315,P-000315,Volkswagen,Polo,2024,17272,83.4,0.355,4.5,4.9,0.147
V-000317,P-000317,Dacia,Logan,2008,2000,62.2,0.407,3.2,8.2,0.308
V-000322,P-000322,Skoda,Superb,2021,7561,87.4,0.49,0.6,0.6,0.241
V-000323,P-000323,Skoda,Fabia,2014,14364,55.8,0.424,5.0,0.4,0.124
V-000325,P-000325,Dacia,Logan,2023,9250,80.9,0.508,2.4,2.1,0.062
V-000326,P-000326,Skoda,Octavia,2019,9960,74.4,0.143,2.4,0.7,0.1
V-000327,P-000327,Renault,Megane,2015,13450,70.8,0.165,5.0,3.0,0.448
V-000329,P-000329,Volkswagen,Polo,2006,8316,68.4,0.352,3.0,1.8,0.34
V-000332,P-000332,Dacia,Sandero,2015,2000,74.1,0.068,4.9,0.8,0.563
V-000333,P-000333,Renault,Megane,2015,13043,66.8,0.647,1.8,3.4,0.447
V-000334,P-000334,Volkswagen,Golf,2020,12823,58.1,0.4,1.4,2.6,0.428
V-000338,P-000338,Toyota,Corolla,2014,2000,51.5,0.172,1.4,0.5,0.258
V-000339,P-000339,Renault,Megane,2007,7628,76.8,0.289,6.4,1.0,0.312
V-000340,P-000340,Dacia,Logan,2022,11900,68.5,0.255,0.8,0.8,0.129
V-000342,P-000342,Skoda,Superb,2005,30417,65.7,0.382,0.9,0.1,0.112
V-000353,P-000353,Skoda,Superb,2005,11473,74.5,0.227,6.5,2.4,0.565
V-000354,P-000354,Toyota,Corolla,2019,11936,72.4,0.32,4.1,2.4,0.347
V-000356,P-000356,Toyota,RAV4,2015,3222,68.2,0.226,1.6,0.6,0.453
V-000357,P-000357,Skoda,Superb,2009,8461,86.7,0.214,4.7,4.2,0.5
V-000358,P-000358,Dacia,Logan,2016,23370,63.2,0.293,5.8,1.2,0.549
V-000359,P-000359,Renault,Clio,2020,10402,71.1,0.301,1.3,2.8,0.632
V-000361,P-000361,Dacia,Logan,2011,9596,82.1,0.393,0.7,0.3,0.196
V-000363,P-000363,Volkswagen,Polo,2006,2000,59.3,0.098,4.0,8.2,0.079
V-000364,P-000364,Renault,Captur,2021,14140,79.5,0.243,1.2,1.6,0.448
V-000366,P-000366,Volkswagen,Passat,2017,13161,84.9,0.368,7.7,1.0,0.288
V-000369,P-000369,Renault,Clio,2021,16055,74.0,0.435,3.1,1.9,0.363
V-000370,P-000370,Skoda,Fabia,2021,20692,84.1,0.484,2.9,0.2,0.361
V-000374,P-000374,Skoda,Superb,2020,16159,67.3,0.68,2.8,6.0,0.495
V-000375,P-000375,Toyota,Corolla,2015,6582,52.4,0.154,3.2,2.0,0.402
V-000376,P-000376,Toyota,Yaris,2007,10827,66.5,0.448,2.8,1.0,0.149
V-000377,P-000377,Volkswagen,Passat,2022,8670,77.7,0.168,2.7,0.3,0.297
V-000380,P-000380,Dacia,Duster,2017,14546,77.4,0.318,7.6,1.3,0.217
V-000382,P-000382,Volkswagen,Passat,2019,13975,63.6,0.383,9.0,0.6,0.316
V-000387,P-000387,Skoda,Octavia,2011,19346,75.0,0.188,1.4,1.9,0.189
V-000388,P-000388,Renault,Megane,2016,16728,47.3,0.13,7.6,0.3,0.196
V-000389,P-000389,Skoda,Octavia,2022,7001,68.2,0.078,7.4,0.4,0.397
V-000392,P-000392,Dacia,Logan,2007,13831,75.2,0.272,2.6,0.0,0.248
V-000393,P-000393,Toyota,Corolla,2006,2506,50.5,0.095,5.3,1.5,0.306
V-000395,P-000395,Volkswagen,Polo,2022,26000,82.6,0.209,7.1,2.6,0.321
V-000397,P-000397,Skoda,Octavia,2018,9250,79.2,0.383,4.7,3.4,0.157
V-000400,P-000400,Toyota,Yaris,2020,16468,73.2,0.436,1.7,6.5,0.33
V-000401,P-000401,Toyota,RAV4,2014,6596,61.7,0.149,12.0,1.0,0.542
V-000403,P-000403,Volkswagen,Golf,2011,15311,80.6,0.309,3.7,0.7,0.044
V-000404,P-000404,Dacia,Logan,2010,2000,71.9,0.173,4.6,4.8,0.193
V-000405,P-000405,Volkswagen,Polo,2018,14476,73.2,0.35,4.0,0.8,0.163
V-000407,P-000407,Toyota,Corolla,2019,10867,81.2,0.467,7.8,1.6,0.582
V-000410,P-000410,Volkswagen,Passat,2008,5372,70.5,0.168,0.6,7.2,0.145
V-000412,P-000412,Toyota,Corolla,2019,33072,70.7,0.061,21.8,1.2,0.131
V-000413,P-000413,Renault,Captur,2023,9145,79.8,0.51,4.2,4.7,0.043
V-000414,P-000414,Renault,Megane,2005,5221,74.4,0.47,2.4,2.5,0.237
V-000415,P-000415,Toyota,Yaris,2017,13356,68.3,0.39,5.9,8.5,0.307
V-000416,P-000416,Skoda,Fabia,2017,11848,48.5,0.091,2.5,1.9,0.249
V-000419,P-000419,Dacia,Logan,2007,19583,75.8,0.166,6.2,0.9,0.523
V-000423,P-000423,Renault,Captur,2016,2250,79.6,0.316,4.8,1.4,0.404
V-000424,P-000424,Toyota,RAV4,2008,4535,85.1,0.566,4.0,4.5,0.441
V-000429,P-000429,Renault,Clio,2020,17735,56.0,0.238,2.3,1.9,0.226
V-000430,P-000430,Skoda,Fabia,2021,12908,56.0,0.346,3.7,0.9,0.051
V-000432,P-000432,Dacia,Logan,2018,19677,67.2,0.629,2.8,4.1,0.084
V-000434,P-000434,Dacia,Duster,2014,19214,86.1,0.221,4.2,1.7,0.499
V-000435,P-000435,Toyota,Corolla,2018,13248,64.8,0.21,6.2,6.7,0.138
V-000438,P-000438,Toyota,Corolla,2007,8063,71.0,0.076,0.3,0.9,0.11
V-000439,P-000439,Volkswagen,Golf,2009,2000,54.6,0.21,5.6,1.0,0.05
V-000441,P-000441,Toyota,RAV4,2020,10350,81.1,0.201,2.5,3.1,0.345
V-000442,P-000442,Renault,Captur,2011,12445,65.0,0.085,2.9,2.1,0.076
V-000444,P-000444,Toyota,RAV4,2018,19376,61.8,0.468,1.0,0.4,0.297
V-000447,P-000447,Volkswagen,Polo,2015,12435,50.8,0.512,4.2,0.2,0.332
V-000450,P-000450,Volkswagen,Polo,2018,2258,62.3,0.223,2.4,1.7,0.191
V-000453,P-000453,Dacia,Sandero,2018,13197,69.9,0.05,5.0,2.7,0.254
V-000454,P-000454,Skoda,Octavia,2005,4751,70.1,0.267,2.9,4.8,0.135
V-000456,P-000456,Skoda,Fabia,2006,6038,66.7,0.154,0.7,0.5,0.296
V-000457,P-000457,Skoda,Superb,2016,12196,79.4,0.035,4.6,1.5,0.554
V-000458,P-000458,Toyota,RAV4,2007,4091,76.0,0.199,1.2,0.5,0.745
V-000459,P-000459,Dacia,Logan,2023,10492,84.0,0.521,9.1,1.2,0.059
V-000460,P-000460,Toyota,Corolla,2008,7567,50.4,0.379,1.1,2.5,0.459
V-000461,P-000461,Skoda,Superb,2006,5767,53.8,0.493,9.6,1.5,0.096
V-000462,P-000462,Dacia,Sandero,2011,10332,78.7,0.205,7.6,2.2,0.413
V-000464,P-000464,Renault,Clio,2024,20065,81.0,0.19,12.3,0.5,0.352
V-000465,P-000465,Dacia,Duster,2018,14063,77.9,0.036,4.0,2.8,0.356
V-000469,P-000469,Skoda,Fabia,2011,9944,69.7,0.131,6.5,2.9,0.079
V-000471,P-000471,Toyota,RAV4,2018,8846,71.9,0.443,2.2,6.8,0.207
V-000473,P-000473,Volkswagen,Passat,2007,17460,86.7,0.421,9.0,4.9,0.189
V-000474,P-000474,Skoda,Superb,2022,3604,95.7,0.353,6.2,5.1,0.162
V-000475,P-000475,Volkswagen,Passat,2019,16304,86.5,0.686,9.8,1.7,0.126
V-000476,P-000476,Renault,Megane,2017,5288,82.8,0.237,3.7,9.8,0.305
V-000477,P-000477,Skoda,Fabia,2014,9075,74.3,0.398,0.8,1.5,0.461
V-000478,P-000478,Volkswagen,Golf,2020,23465,72.5,0.221,0.9,1.4,0.192
V-000479,P-000479,Renault,Megane,2016,20090,69.7,0.383,2.7,3.7,0.032
V-000480,P-000480,Volkswagen,Golf,2010,12691,56.4,0.409,8.0,1.4,0.139
V-000481,P-000481,Dacia,Logan,2014,3610,78.8,0.229,8.1,0.6,0.217
V-000482,P-000482,Toyota,Corolla,2005,19214,68.3,0.268,4.6,2.6,0.101
V-000483,P-000483,Dacia,Sandero,2007,16815,91.5,0.543,0.4,1.8,0.372
V-000484,P-000484,Volkswagen,Passat,2012,15557,62.3,0.448,5.3,1.3,0.289
V-000487,P-000487,Volkswagen,Golf,2024,7731,56.8,0.507,5.0,2.3,0.2
V-000493,P-000493,Toyota,RAV4,2010,12846,97.9,0.197,8.2,0.9,0.328
V-000494,P-000494,Dacia,Sandero,2011,5355,98.0,0.134,1.5,3.7,0.175
V-000495,P-000495,Renault,Captur,2015,13383,77.5,0.132,3.0,8.4,0.377
V-000497,P-000497,Renault,Captur,2020,8155,79.0,0.031,7.0,1.7,0.382
V-000500,P-000500,Volkswagen,Passat,2024,3783,65.9,0.11,1.9,0.9,0.114
V-000501,P-000501,Volkswagen,Polo,2006,14494,90.1,0.319,3.0,1.5,0.421
V-000502,P-000502,Renault,Megane,2014,13210,74.9,0.228,1.3,0.3,0.333
V-000505,P-000505,Dacia,Sandero,2024,14251,72.5,0.252,2.7,0.4,0.34
V-000506,P-000506,Dacia,Logan,2022,24674,71.9,0.156,0.2,2.8,0.03
V-000508,P-000508,Skoda,Octavia,2008,18330,73.5,0.336,3.0,2.7,0.528
V-000509,P-000509,Dacia,Duster,2024,14381,73.7,0.255,5.3,0.9,0.218
V-000510,P-000510,Volkswagen,Passat,2017,9894,66.8,0.262,2.0,1.8,0.299
V-000511,P-000511,Renault,Megane,2024,11467,73.4,0.286,2.4,2.5,0.302
V-000512,P-000512,Toyota,Corolla,2017,9001,60.9,0.109,2.1,1.6,0.215
V-000515,P-000515,Toyota,RAV4,2006,17504,78.4,0.481,6.4,1.4,0.379
V-000517,P-000517,Toyota,Corolla,2011,14239,69.1,0.173,0.4,0.1,0.262
V-000518,P-000518,Dacia,Duster,2014,24994,70.0,0.439,8.4,0.5,0.227
V-000520,P-000520,Renault,Megane,2008,13462,69.7,0.491,1.4,1.3,0.403
V-000522,P-000522,Volkswagen,Golf,2021,9362,63.8,0.247,1.5,0.8,0.272
V-000523,P-000523,Renault,Megane,2024,11614,64.1,0.038,2.2,4.3,0.438
V-000525,P-000525,Dacia,Duster,2009,11217,63.6,0.153,8.5,1.1,0.215
V-000529,P-000529,Dacia,Sandero,2012,19749,78.2,0.335,6.3,1.8,0.348
V-000531,P-000531,Dacia,Sandero,2018,14720,70.5,0.211,1.8,0.2,0.338
V-000532,P-000532,Renault,Clio,2024,13361,71.3,0.091,3.0,1.5,0.165
V-000539,P-000539,Toyota,Corolla,2013,14675,62.7,0.47,8.5,2.5,0.449
V-000542,P-000542,Renault,Clio,2018,19303,60.7,0.43,3.8,5.9,0.135
V-000543,P-000543,Volkswagen,Golf,2006,12221,71.9,0.202,8.7,2.8,0.078
V-000544,P-000544,Renault,Captur,2016,13586,73.3,0.59,5.0,1.2,0.09
V-000545,P-000545,Toyota,RAV4,2024,28534,43.6,0.206,8.1,4.2,0.07
V-000546,P-000546,Skoda,Octavia,2015,5436,58.8,0.081,3.6,1.1,0.242
V-000549,P-000549,Volkswagen,Passat,2019,4291,91.9,0.128,1.0,1.8,0.209
V-000550,P-000550,Toyota,Corolla,2018,23190,49.3,0.22,3.3,7.4,0.61
V-000553,P-000553,Volkswagen,Golf,2009,2000,70.9,0.215,0.4,1.0,0.178
V-000555,P-000555,Volkswagen,Passat,2021,8484,80.8,0.464,5.4,2.5,0.181
V-000556,P-000556,Renault,Megane,2009,6144,72.1,0.451,1.9,0.4,0.08
V-000558,P-000558,Dacia,Duster,2018,13668,82.2,0.208,0.6,4.6,0.268
V-000559,P-000559,Skoda,Superb,2017,16370,48.3,0.162,4.1,2.4,0.117
V-000561,P-000561,Toyota,RAV4,2014,9331,70.1,0.212,3.5,0.3,0.084
V-000563,P-000563,Volkswagen,Polo,2006,11593,76.5,0.293,11.5,1.7,0.194
V-000569,P-000569,Renault,Clio,2007,8532,92.7,0.347,5.2,2.6,0.832
V-000570,P-000570,Skoda,Fabia,2014,12058,65.1,0.149,4.8,2.3,0.166
V-000573,P-000573,Skoda,Fabia,2008,21459,74.0,0.15,2.4,1.5,0.382
V-000575,P-000575,Renault,Captur,2010,11166,54.7,0.277,6.4,1.3,0.234
V-000577,P-000577,Skoda,Octavia,2009,10556,60.6,0.207,3.3,4.2,0.105
V-000579,P-000579,Toyota,RAV4,2007,18299,85.2,0.33,2.4,2.4,0.237
V-000582,P-000582,Renault,Megane,2011,14221,92.5,0.299,7.5,0.5,0.325
V-000583,P-000583,Volkswagen,Golf,2024,12993,92.8,0.175,5.4,1.6,0.077
V-000584,P-000584,Toyota,Yaris,2020,3000,79.6,0.313,1.9,4.9,0.206
V-000586,P-000586,Dacia,Duster,2022,19087,65.1,0.34,2.5,1.7,0.168
V-000587,P-000587,Dacia,Duster,2021,13548,79.7,0.139,0.4,3.6,0.501
V-000590,P-000590,Skoda,Fabia,2016,8047,49.1,0.316,3.0,4.1,0.18
V-000595,P-000595,Skoda,Superb,2020,9236,63.9,0.324,0.1,2.0,0.123
V-000597,P-000597,Toyota,RAV4,2007,22016,71.7,0.386,8.0,1.2,0.076
V-000598,P-000598,Toyota,Yaris,2012,8499,28.5,0.351,2.9,1.0,0.276
V-000600,P-000600,Dacia,Sandero,2007,16262,64.5,0.057,4.4,2.4,0.083
V-000601,P-000601,Dacia,Duster,2018,11972,57.3,0.068,1.2,3.6,0.057
V-000603,P-000603,Toyota,Yaris,2011,24067,62.6,0.528,1.6,2.7,0.349
V-000605,P-000605,Dacia,Sandero,2010,8715,74.4,0.428,1.8,6.6,0.114
V-000606,P-000606,Toyota,Corolla,2013,15794,70.2,0.307,3.9,0.8,0.067
V-000608,P-000608,Toyota,Yaris,2022,11463,67.3,0.283,1.6,1.7,0.412
V-000610,P-000610,Toyota,Corolla,2005,7924,74.6,0.458,1.7,4.5,0.243
V-000612,P-000612,Skoda,Superb,2013,27261,57.1,0.241,1.6,0.4,0.312
V-000615,P-000615,Toyota,Corolla,2023,19113,47.2,0.279,4.9,3.6,0.813
V-000618,P-000618,Toyota,Yaris,2021,26261,67.9,0.054,7.7,2.3,0.3
V-000621,P-000621,Skoda,Fabia,2006,16387,46.6,0.301,4.3,0.6,0.233
V-000622,P-000622,Volkswagen,Golf,2014,13725,67.7,0.498,7.3,2.2,0.191
V-000630,P-000630,Toyota,Corolla,2015,15723,57.6,0.68,4.0,4.9,0.066
V-000631,P-000631,Toyota,RAV4,2010,7141,65.7,0.056,1.5,5.4,0.242
V-000632,P-000632,Volkswagen,Polo,2024,3793,63.7,0.125,19.3,3.3,0.119
V-000633,P-000633,Toyota,Corolla,2018,11737,92.2,0.154,9.0,5.9,0.111
V-000635,P-000635,Skoda,Superb,2006,14012,55.7,0.199,2.8,1.2,0.067
V-000636,P-000636,Toyota,Yaris,2006,5608,51.4,0.664,1.4,0.3,0.297
