property_id,policy_id,location_type,sprinkler_grade,building_value,contents_value,year_built,construction,area_sqm,floors,has_alarm,replacement_cost
H-000257,P-000257,,,,,1992.0,brick,105.0,1.0,True,80234.23
H-000258,P-000258,,,,,2022.0,concrete,128.0,1.0,True,116619.64
H-000261,P-000261,,,,,2019.0,concrete,171.0,2.0,True,145833.45
H-000266,P-000266,,,,,2015.0,brick,178.0,2.0,False,153936.75
C-000267,P-000267,retail,B,4235631.23,1000861.84,,,,,,
H-000268,P-000268,,,,,2021.0,brick,132.0,1.0,True,145560.49
H-000271,P-000271,,,,,2002.0,brick,147.0,1.0,False,150334.1
C-000274,P-000274,factory,None,2926255.64,552924.01,,,,,,
H-000275,P-000275,,,,,2000.0,concrete,136.0,1.0,True,138499.77
H-000277,P-000277,,,,,2015.0,concrete,92.0,1.0,True,85566.48
H-000278,P-000278,,,,,2009.0,concrete,123.0,2.0,True,110706.93
C-000281,P-000281,warehouse,C,2873109.85,1043773.34,,,,,,
H-000283,P-000283,,,,,2008.0,brick,122.0,2.0,True,100705.94
H-000286,P-000286,,,,,2014.0,concrete,158.0,2.0,True,168020.32
H-000288,P-000288,,,,,2005.0,concrete,140.0,4.0,True,135784.38
C-000289,P-000289,office,None,3233577.54,193358.78,,,,,,
H-000291,P-000291,,,,,1984.0,concrete,138.0,1.0,True,109361.18
H-000293,P-000293,,,,,1973.0,brick,62.0,2.0,False,49319.97
H-000294,P-000294,,,,,1988.0,concrete,138.0,1.0,True,137437.49
H-000300,P-000300,,,,,2017.0,brick,57.0,1.0,False,43971.88
H-000304,P-000304,,,,,2019.0,brick,109.0,1.0,False,90975.51
C-000305,P-000305,warehouse,A,2202522.6,1772398.25,,,,,,
C-000307,P-000307,factory,A,4984287.51,478702.97,,,,,,
H-000313,P-000313,,,,,2008.0,brick,156.0,2.0,True,125237.23
C-000314,P-000314,factory,B,3320957.09,743783.83,,,,,,
H-000316,P-000316,,,,,2006.0,brick,98.0,1.0,True,77615.52
H-000319,P-000319,,,,,1986.0,concrete,122.0,1.0,True,122732.05
H-000320,P-000320,,,,,2001.0,brick,54.0,1.0,True,46779.15
H-000321,P-000321,,,,,2021.0,brick,208.0,2.0,False,136814.69
H-000324,P-000324,,,,,1976.0,concrete,83.0,1.0,False,46557.69
H-000328,P-000328,,,,,2011.0,brick,85.0,2.0,True,92523.58
H-000330,P-000330,,,,,1972.0,brick,50.0,3.0,False,33942.71
H-000331,P-000331,,,,,1990.0,brick,131.0,2.0,True,139301.19
H-000336,P-000336,,,,,2014.0,brick,148.0,1.0,False,121523.15
H-000337,P-000337,,,,,1986.0,concrete,138.0,1.0,True,133892.0
H-000341,P-000341,,,,,1981.0,concrete,102.0,2.0,False,70398.8
H-000343,P-000343,,,,,1995.0,concrete,40.0,1.0,False,41719.28
H-000344,P-000344,,,,,1967.0,brick,102.0,2.0,False,96298.41
H-000346,P-000346,,,,,1970.0,brick,158.0,2.0,False,136598.48
C-000347,P-000347,office,C,1909111.27,1697160.09,,,,,,
C-000348,P-000348,office,None,4882293.07,1860087.56,,,,,,
C-000349,P-000349,office,B,4728178.72,466773.61,,,,,,
H-000351,P-000351,,,,,2006.0,concrete,127.0,1.0,True,96740.89
H-000352,P-000352,,,,,1980.0,brick,107.0,2.0,False,82527.68
H-000355,P-000355,,,,,2015.0,concrete,139.0,2.0,False,177219.47
H-000360,P-000360,,,,,2001.0,concrete,115.0,1.0,True,98177.85
C-000362,P-000362,office,A,4041367.83,923316.13,,,,,,
H-000365,P-000365,,,,,2015.0,brick,93.0,2.0,True,99839.11
H-000371,P-000371,,,,,1977.0,wood,40.0,1.0,False,26320.95
H-000372,P-000372,,,,,1983.0,concrete,78.0,1.0,False,65800.9
H-000373,P-000373,,,,,1981.0,brick,101.0,3.0,False,81181.6
H-000378,P-000378,,,,,1970.0,brick,103.0,2.0,True,70572.64
H-000379,P-000379,,,,,2015.0,concrete,129.0,3.0,True,132341.2
C-000381,P-000381,retail,B,342299.38,573812.33,,,,,,
H-000383,P-000383,,,,,2002.0,wood,169.0,1.0,False,172976.9
H-000384,P-000384,,,,,1978.0,brick,74.0,2.0,False,57774.96
C-000385,P-000385,warehouse,B,332299.99,895090.58,,,,,,
C-000386,P-000386,retail,B,3641177.25,2368650.36,,,,,,
H-000391,P-000391,,,,,1983.0,concrete,71.0,1.0,True,81595.89
H-000394,P-000394,,,,,2013.0,concrete,85.0,1.0,False,58643.9
H-000396,P-000396,,,,,2018.0,brick,85.0,2.0,False,87272.79
H-000398,P-000398,,,,,1974.0,brick,87.0,2.0,True,85483.31
C-000399,P-000399,factory,B,4573429.52,1062405.48,,,,,,
H-000402,P-000402,,,,,1979.0,concrete,142.0,1.0,True,144038.5
H-000406,P-000406,,,,,2016.0,concrete,188.0,2.0,True,187555.77
C-000408,P-000408,warehouse,A,3541678.25,1734586.37,,,,,,
H-000409,P-000409,,,,,2011.0,brick,81.0,1.0,False,84939.6
H-000411,P-000411,,,,,1994.0,brick,80.0,2.0,True,67358.24
C-000417,P-000417,office,C,1605864.13,763388.59,,,,,,
H-000418,P-000418,,,,,1990.0,brick,153.0,1.0,False,136978.64
C-000421,P-000421,retail,B,1812985.08,678490.16,,,,,,
H-000422,P-000422,,,,,1972.0,concrete,83.0,1.0,False,58153.16
H-000425,P-000425,,,,,1967.0,wood,180.0,2.0,False,172097.22
H-000426,P-000426,,,,,1999.0,concrete,97.0,2.0,True,83296.76
H-000427,P-000427,,,,,2002.0,concrete,74.0,1.0,True,71377.07
H-000428,P-000428,,,,,1981.0,concrete,102.0,2.0,True,97171.31
C-000433,P-000433,factory,None,3825165.94,1518885.33,,,,,,
H-000436,P-000436,,,,,1976.0,brick,132.0,2.0,True,131378.96
C-000440,P-000440,office,None,4305674.71,396325.86,,,,,,
C-000445,P-000445,office,C,2690648.6,2030462.66,,,,,,
H-000446,P-000446,,,,,2017.0,concrete,40.0,1.0,True,39987.05
H-000448,P-000448,,,,,2005.0,brick,128.0,2.0,True,112982.61
H-000451,P-000451,,,,,2002.0,concrete,97.0,1.0,True,120610.66
C-000452,P-000452,warehouse,C,4719331.9,1279142.63,,,,,,
C-000463,P-000463,retail,C,591486.19,2035692.34,,,,,,
H-000467,P-000467,,,,,1990.0,concrete,84.0,3.0,False,89219.92
C-000468,P-000468,warehouse,None,4460205.89,1762997.58,,,,,,
H-000470,P-000470,,,,,1966.0,concrete,90.0,2.0,True,53253.76
H-000472,P-000472,,,,,2009.0,brick,80.0,1.0,False,77133.02
H-000485,P-000485,,,,,1992.0,concrete,73.0,1.0,True,82484.02
H-000486,P-000486,,,,,2001.0,brick,126.0,1.0,False,91618.48
C-000488,P-000488,office,C,599707.89,814186.09,,,,,,
H-000489,P-000489,,,,,1998.0,brick,123.0,3.0,False,119842.07
H-000498,P-000498,,,,,1966.0,brick,160.0,2.0,False,179160.12
H-000499,P-000499,,,,,2009.0,brick,129.0,1.0,False,101478.21
H-000503,P-000503,,,,,1971.0,wood,82.0,2.0,True,71792.47
H-000513,P-000513,,,,,2002.0,concrete,95.0,1.0,True,60223.44
H-000516,P-000516,,,,,1993.0,concrete,87.0,1.0,True,93299.79
C-000524,P-000524,factory,B,4185313.68,959689.82,,,,,,
H-000527,P-000527,,,,,2016.0,brick,80.0,2.0,False,51556.6
H-000528,P-000528,,,,,1965.0,concrete,93.0,1.0,True,64842.14
C-000530,P-000530,factory,C,4943454.48,2086422.6,,,,,,
H-000533,P-000533,,,,,1980.0,wood,128.0,3.0,True,112637.11
H-000535,P-000535,,,,,1983.0,brick,79.0,1.0,True,67195.53
H-000536,P-000536,,,,,1980.0,brick,169.0,2.0,False,134951.49
C-000537,P-000537,factory,B,2387420.99,1115353.89,,,,,,
H-000538,P-000538,,,,,1994.0,brick,80.0,1.0,False,73712.87
H-000540,P-000540,,,,,1971.0,brick,171.0,2.0,False,121284.89
H-000547,P-000547,,,,,1974.0,brick,82.0,2.0,True,60677.92
C-000552,P-000552,warehouse,A,4799439.68,1618508.32,,,,,,
H-000557,P-000557,,,,,2007.0,brick,69.0,1.0,True,55341.59
H-000560,P-000560,,,,,2004.0,brick,134.0,1.0,False,106582.68
H-000562,P-000562,,,,,1979.0,brick,92.0,2.0,True,105769.61
H-000564,P-000564,,,,,1983.0,concrete,110.0,1.0,True,104029.04
H-000565,P-000565,,,,,1982.0,brick,130.0,2.0,True,101528.4
C-000567,P-000567,factory,A,4588112.2,846675.23,,,,,,
H-000568,P-000568,,,,,1990.0,brick,210.0,1.0,False,168119.9
H-000571,P-000571,,,,,1967.0,brick,40.0,1.0,True,39430.57
H-000572,P-000572,,,,,1987.0,concrete,143.0,2.0,True,179288.57
H-000574,P-000574,,,,,2006.0,brick,110.0,2.0,True,72520.58
C-000576,P-000576,office,C,4968299.93,1714841.14,,,,,,
H-000578,P-000578,,,,,1971.0,brick,51.0,1.0,False,44169.19
C-000580,P-000580,office,C,2418527.62,1318858.42,,,,,,
H-000581,P-000581,,,,,1979.0,concrete,104.0,1.0,True,79347.53
H-000588,P-000588,,,,,1983.0,brick,88.0,2.0,False,78460.77
H-000591,P-000591,,,,,1975.0,concrete,106.0,2.0,True,88705.12
H-000592,P-000592,,,,,1971.0,brick,142.0,2.0,False,101103.24
H-000593,P-000593,,,,,2017.0,brick,80.0,2.0,True,44996.59
H-000594,P-000594,,,,,2015.0,concrete,81.0,2.0,True,75763.63
H-000596,P-000596,,,,,1970.0,concrete,132.0,1.0,True,157023.05
C-000599,P-000599,office,C,3710386.49,124253.3,,,,,,
C-000602,P-000602,factory,B,4512023.74,114982.84,,,,,,
C-000604,P-000604,warehouse,C,1503439.61,506116.38,,,,,,
C-000607,P-000607,retail,A,1726889.94,413373.44,,,,,,
C-000611,P-000611,office,C,722195.27,1682542.11,,,,,,
C-000614,P-000614,office,None,254566.61,435989.83,,,,,,
H-000616,P-000616,,,,,2011.0,brick,113.0,1.0,False,113663.43
H-000617,P-000617,,,,,1983.0,concrete,142.0,1.0,False,115986.89
H-000619,P-000619,,,,,1998.0,brick,40.0,1.0,True,36942.24
C-000623,P-000623,warehouse,None,3831548.98,664402.03,,,,,,
H-000624,P-000624,,,,,2012.0,concrete,111.0,1.0,True,79208.16
H-000625,P-000625,,,,,1967.0,brick,93.0,2.0,False,104948.57
H-000626,P-000626,,,,,1999.0,brick,40.0,2.0,True,30888.31
H-000627,P-000627,,,,,1977.0,brick,116.0,1.0,False,77127.11
C-000628,P-000628,retail,A,3936507.43,566388.61,,,,,,
C-000629,P-000629,warehouse,C,177648.3,1398830.55,,,,,,
H-000634,P-000634,,,,,1967.0,concrete,112.0,2.0,True,139700.57
H-000637,P-000637,,,,,2016.0,concrete,136.0,2.0,True,88595.23
C-000638,P-000638,office,A,1543336.58,1878091.57,,,,,,
C-000639,P-000639,warehouse,C,1642458.09,1620804.14,,,,,,
H-000641,P-000641,,,,,1974.0,brick,84.0,1.0,False,73409.79
C-000642,P-000642,retail,B,1154656.0,520107.35,,,,,,
H-000644,P-000644,,,,,2007.0,brick,90.0,1.0,True,84235.7
H-000657,P-000657,,,,,2003.0,brick,119.0,3.0,True,136485.44
H-000658,P-000658,,,,,1996.0,concrete,136.0,2.0,False,93989.89
C-000660,P-000660,retail,B,1893344.62,147754.13,,,,,,
H-000661,P-000661,,,,,2003.0,brick,92.0,2.0,False,67969.9
H-000664,P-000664,,,,,1981.0,brick,81.0,2.0,False,77706.91
H-000665,P-000665,,,,,2002.0,brick,47.0,1.0,False,58820.78
H-000670,P-000670,,,,,2009.0,concrete,125.0,1.0,False,122278.08
H-000672,P-000672,,,,,2020.0,brick,109.0,1.0,False,92364.95
C-000673,P-000673,office,B,3687041.86,600089.94,,,,,,
H-000674,P-000674,,,,,1991.0,concrete,130.0,2.0,False,123679.15
H-000677,P-000677,,,,,2007.0,brick,75.0,2.0,False,40758.96
H-000681,P-000681,,,,,1998.0,concrete,140.0,1.0,False,128639.55
H-000683,P-000683,,,,,2021.0,brick,171.0,1.0,False,163315.19
H-000684,P-000684,,,,,2013.0,brick,166.0,2.0,True,132646.17
H-000685,P-000685,,,,,2018.0,brick,125.0,2.0,False,108794.87
C-000686,P-000686,office,C,4870862.28,263821.42,,,,,,
H-000687,P-000687,,,,,1996.0,brick,141.0,2.0,True,123067.99
C-000689,P-000689,warehouse,B,4442350.13,2271666.43,,,,,,
C-000690,P-000690,warehouse,C,3475359.29,1779308.39,,,,,,
H-000692,P-000692,,,,,2007.0,wood,87.0,3.0,True,81382.59
H-000695,P-000695,,,,,1966.0,concrete,65.0,2.0,True,74120.62
H-000696,P-000696,,,,,2010.0,brick,171.0,2.0,True,102686.25
H-000697,P-000697,,,,,1987.0,concrete,99.0,1.0,True,109721.37
H-000699,P-000699,,,,,1966.0,brick,89.0,1.0,False,96042.66
H-000701,P-000701,,,,,2019.0,concrete,111.0,1.0,True,90215.68
H-000702,P-000702,,,,,2011.0,concrete,99.0,1.0,False,87902.31
H-000703,P-000703,,,,,1986.0,concrete,168.0,2.0,True,203391.35
H-000704,P-000704,,,,,1997.0,brick,126.0,2.0,False,109224.15
H-000708,P-000708,,,,,1977.0,brick,77.0,1.0,False,56212.17
H-000711,P-000711,,,,,1968.0,concrete,160.0,1.0,True,159511.44
H-000721,P-000721,,,,,1999.0,concrete,139.0,3.0,True,120440.12
C-000725,P-000725,warehouse,B,2030249.25,2110005.27,,,,,,
H-000726,P-000726,,,,,1967.0,concrete,104.0,2.0,True,60587.73
H-000730,P-000730,,,,,1980.0,brick,103.0,2.0,False,91906.86
H-000731,P-000731,,,,,2018.0,brick,95.0,1.0,True,116121.3
C-000736,P-000736,office,C,1323567.05,812394.92,,,,,,
H-000740,P-000740,,,,,2021.0,concrete,126.0,2.0,True,98597.42
H-000741,P-000741,,,,,1972.0,brick,91.0,1.0,True,74826.99
H-000745,P-000745,,,,,2011.0,brick,161.0,1.0,False,104362.3
H-000747,P-000747,,,,,1999.0,concrete,67.0,2.0,False,52241.7
H-000753,P-000753,,,,,1977.0,brick,61.0,2.0,True,64012.37
C-000763,P-000763,factory,A,1353583.64,2481090.59,,,,,,
H-000764,P-000764,,,,,1982.0,brick,81.0,2.0,False,81518.81
H-000766,P-000766,,,,,1984.0,brick,116.0,2.0,False,89898.59
H-000768,P-000768,,,,,2004.0,brick,58.0,2.0,True,52909.6
H-000771,P-000771,,,,,1996.0,concrete,162.0,1.0,False,135535.9
H-000772,P-000772,,,,,1995.0,brick,119.0,3.0,True,101522.72
H-000773,P-000773,,,,,1998.0,brick,127.0,2.0,True,106788.76
H-000777,P-000777,,,,,2005.0,concrete,90.0,1.0,True,94600.34
H-000782,P-000782,,,,,2015.0,brick,142.0,2.0,True,140527.38
H-000783,P-000783,,,,,1973.0,brick,112.0,2.0,False,86544.77
C-000785,P-000785,warehouse,C,589727.29,2047342.82,,,,,,
C-000786,P-000786,factory,C,2427317.25,355081.05,,,,,,
C-000790,P-000790,warehouse,A,4597654.31,1297409.27,,,,,,
H-000794,P-000794,,,,,2023.0,concrete,135.0,1.0,True,75901.62
C-000795,P-000795,warehouse,B,1502881.22,2332058.99,,,,,,
H-000796,P-000796,,,,,2022.0,brick,88.0,1.0,True,79837.7
H-000797,P-000797,,,,,1994.0,concrete,129.0,2.0,False,102173.35
H-000798,P-000798,,,,,1974.0,brick,136.0,3.0,True,113540.77
H-000801,P-000801,,,,,2010.0,concrete,168.0,2.0,False,129939.17
H-000806,P-000806,,,,,1967.0,wood,40.0,1.0,False,45480.51
H-000808,P-000808,,,,,1998.0,brick,85.0,3.0,True,83334.54
H-000809,P-000809,,,,,1997.0,brick,40.0,1.0,False,46658.0
H-000811,P-000811,,,,,2010.0,brick,62.0,1.0,False,58698.32
H-000812,P-000812,,,,,1981.0,brick,75.0,1.0,True,65136.39
H-000815,P-000815,,,,,1969.0,brick,104.0,2.0,False,119223.03
H-000821,P-000821,,,,,2022.0,brick,164.0,2.0,True,138409.78
H-000823,P-000823,,,,,1998.0,wood,139.0,1.0,False,121623.24
H-000824,P-000824,,,,,1976.0,brick,115.0,1.0,False,85635.75
H-000826,P-000826,,,,,1974.0,brick,127.0,1.0,False,135078.8
H-000830,P-000830,,,,,1993.0,concrete,40.0,2.0,True,30273.64
C-000831,P-000831,warehouse,None,336473.23,909374.78,,,,,,
C-000832,P-000832,office,B,4860322.06,2043806.0,,,,,,
H-000833,P-000833,,,,,2006.0,wood,144.0,2.0,False,145781.41
H-000835,P-000835,,,,,2009.0,concrete,124.0,1.0,False,131975.71
H-000837,P-000837,,,,,1998.0,concrete,72.0,2.0,True,66329.18
C-000841,P-000841,warehouse,A,1761341.14,1826104.72,,,,,,
C-000844,P-000844,retail,C,3681030.37,658762.02,,,,,,
H-000850,P-000850,,,,,1968.0,brick,79.0,1.0,True,81311.28
C-000853,P-000853,office,B,1933473.48,2259496.39,,,,,,
C-000854,P-000854,warehouse,None,1096687.88,230969.47,,,,,,
H-000857,P-000857,,,,,1971.0,wood,140.0,2.0,False,75711.86
H-000861,P-000861,,,,,1969.0,brick,113.0,3.0,False,91397.7
H-000863,P-000863,,,,,1988.0,brick,112.0,1.0,True,112819.05
H-000865,P-000865,,,,,2002.0,concrete,47.0,1.0,False,42225.31
H-000866,P-000866,,,,,2002.0,brick,84.0,2.0,True,70118.62
H-000868,P-000868,,,,,2019.0,concrete,71.0,2.0,False,59565.35
H-000874,P-000874,,,,,1983.0,concrete,166.0,2.0,True,167569.75
H-000877,P-000877,,,,,1995.0,brick,146.0,2.0,True,126785.89
H-000879,P-000879,,,,,2019.0,brick,95.0,2.0,True,106178.54
C-000883,P-000883,office,None,697000.87,2488706.48,,,,,,
C-000885,P-000885,warehouse,C,4042007.56,179107.44,,,,,,
C-000886,P-000886,factory,B,2739162.84,1242622.06,,,,,,
C-000887,P-000887,factory,None,4307606.31,107147.02,,,,,,
C-000889,P-000889,retail,B,3083482.19,1021850.66,,,,,,
H-000892,P-000892,,,,,1977.0,brick,62.0,1.0,True,52706.31
H-000895,P-000895,,,,,1985.0,brick,138.0,1.0,True,130177.64
H-000899,P-000899,,,,,2013.0,brick,110.0,2.0,True,99641.64
C-000901,P-000901,office,B,2863365.9,880395.2,,,,,,
H-000902,P-000902,,,,,1970.0,concrete,103.0,1.0,True,100089.44
H-000908,P-000908,,,,,1967.0,brick,154.0,2.0,False,156964.11
H-000909,P-000909,,,,,2010.0,brick,147.0,1.0,True,110885.05
H-000910,P-000910,,,,,1971.0,concrete,82.0,2.0,True,54391.61
C-000911,P-000911,factory,B,3067630.81,2444158.34,,,,,,
H-000912,P-000912,,,,,1991.0,brick,77.0,1.0,False,59610.32
C-000921,P-000921,retail,B,1062382.4,2166830.15,,,,,,
H-000922,P-000922,,,,,2022.0,brick,136.0,1.0,True,130504.68
H-000924,P-000924,,,,,2011.0,brick,67.0,1.0,False,74059.86
C-000935,P-000935,office,B,3630913.17,1934356.7,,,,,,
H-000936,P-000936,,,,,1976.0,brick,89.0,2.0,False,51175.49
H-000941,P-000941,,,,,2023.0,brick,139.0,2.0,False,97162.89
C-000943,P-000943,warehouse,B,2116556.11,143601.64,,,,,,
H-000945,P-000945,,,,,1975.0,brick,100.0,1.0,False,121232.37
C-000948,P-000948,office,B,2103352.31,432223.67,,,,,,
H-000949,P-000949,,,,,1997.0,brick,105.0,3.0,False,85125.14
H-000952,P-000952,,,,,1971.0,brick,53.0,2.0,True,63313.41
H-000956,P-000956,,,,,1979.0,brick,83.0,2.0,False,70262.28
C-000958,P-000958,warehouse,B,1671354.93,2002222.67,,,,,,
C-000963,P-000963,office,B,2750440.86,155161.3,,,,,,
H-000965,P-000965,,,,,1986.0,brick,71.0,2.0,False,61676.92
C-000966,P-000966,retail,B,323556.0,283227.96,,,,,,
C-000967,P-000967,office,B,3001781.24,478684.2,,,,,,
H-000969,P-000969,,,,,1997.0,concrete,145.0,3.0,False,108123.33
H-000972,P-000972,,,,,2010.0,concrete,157.0,2.0,True,127008.53
H-000979,P-000979,,,,,2000.0,concrete,92.0,1.0,True,90683.83
H-000980,P-000980,,,,,1965.0,concrete,139.0,2.0,False,115742.53
C-000984,P-000984,office,B,4001780.15,2489027.8,,,,,,
C-000986,P-000986,office,B,1171837.65,677636.21,,,,,,
H-000988,P-000988,,,,,1973.0,brick,40.0,2.0,False,32189.59
H-000989,P-000989,,,,,1971.0,brick,89.0,3.0,False,79017.11
H-000990,P-000990,,,,,2007.0,concrete,172.0,1.0,False,144401.16
