unit_id,policy_id,personal_property_limit,roommates_count,building_type
R-001085,P-001085,15000.0,0,block
R-001086,P-001086,25000.0,0,house
R-001094,P-001094,35000.0,1,house
R-001097,P-001097,35000.0,2,house
R-001098,P-001098,25000.0,1,block
R-001107,P-001107,25000.0,0,block
R-001122,P-001122,50000.0,0,block
R-001124,P-001124,25000.0,1,block
R-001127,P-001127,15000.0,2,block
R-001130,P-001130,50000.0,0,block
R-001136,P-001136,25000.0,1,block
R-001141,P-001141,25000.0,2,block
R-001147,P-001147,25000.0,1,block
R-001148,P-001148,35000.0,1,house
R-001149,P-001149,25000.0,2,block
R-001155,P-001155,25000.0,2,block
R-001157,P-001157,35000.0,1,block
R-001159,P-001159,25000.0,2,block
R-001160,P-001160,25000.0,2,block
R-001166,P-001166,25000.0,1,block
R-001175,P-001175,25000.0,1,block
R-001176,P-001176,15000.0,1,block
R-001185,P-001185,15000.0,2,block
R-001208,P-001208,50000.0,1,block
R-001215,P-001215,25000.0,0,block
R-001220,P-001220,15000.0,1,block
R-001228,P-001228,15000.0,1,block
R-001229,P-001229,25000.0,1,block
R-001238,P-001238,25000.0,2,block
R-001242,P-001242,25000.0,0,block
R-001247,P-001247,50000.0,1,block
R-001261,P-001261,25000.0,2,block
R-001263,P-001263,35000.0,2,block
R-001266,P-001266,50000.0,2,block
R-001274,P-001274,25000.0,0,block
R-001278,P-001278,25000.0,1,house
R-001287,P-001287,15000.0,0,block
R-001288,P-001288,35000.0,0,block
R-001305,P-001305,25000.0,0,block
R-001308,P-001308,15000.0,0,house
R-001312,P-001312,35000.0,2,block
R-001321,P-001321,35000.0,2,block
R-001322,P-001322,25000.0,2,block
R-001324,P-001324,25000.0,1,house
R-001329,P-001329,35000.0,0,block
R-001332,P-001332,35000.0,1,house
R-001334,P-001334,15000.0,0,block
R-001335,P-001335,25000.0,0,block
R-001338,P-001338,35000.0,0,block
R-001348,P-001348,15000.0,0,block
R-001355,P-001355,25000.0,0,block
R-001376,P-001376,15000.0,2,block
R-001381,P-001381,35000.0,0,house
R-001383,P-001383,25000.0,2,block
R-001384,P-001384,35000.0,0,block
R-001387,P-001387,15000.0,0,block
R-001392,P-001392,50000.0,1,block
R-001394,P-001394,15000.0,0,block
R-001395,P-001395,25000.0,2,block
R-001405,P-001405,15000.0,1,house
R-001408,P-001408,35000.0,1,block
R-001429,P-001429,35000.0,1,block
R-001430,P-001430,50000.0,0,house
R-001436,P-001436,25000.0,0,house
R-001458,P-001458,35000.0,2,block
R-001459,P-001459,15000.0,0,block
R-001461,P-001461,35000.0,0,block
R-001463,P-001463,15000.0,1,block
R-001464,P-001464,25000.0,0,block
R-001481,P-001481,35000.0,1,block
R-001485,P-001485,25000.0,2,house
R-001487,P-001487,35000.0,1,block
R-001495,P-001495,35000.0,0,block
R-001502,P-001502,35000.0,2,block
R-001507,P-001507,15000.0,2,block
R-001508,P-001508,35000.0,1,house
R-001516,P-001516,25000.0,0,block
R-001539,P-001539,35000.0,1,block
R-001547,P-001547,15000.0,1,house
R-001566,P-001566,25000.0,2,block
R-001568,P-001568,15000.0,1,block
R-001574,P-001574,25000.0,1,block
R-001578,P-001578,25000.0,2,block
R-001579,P-001579,50000.0,0,block
R-001583,P-001583,35000.0,2,block
R-001588,P-001588,15000.0,2,block
R-001589,P-001589,25000.0,2,block
R-001600,P-001600,35000.0,1,house
R-001602,P-001602,25000.0,2,block
R-001603,P-001603,25000.0,1,house
R-001611,P-001611,25000.0,1,block
R-001621,P-001621,50000.0,0,block
R-001624,P-001624,35000.0,1,house
R-001628,P-001628,15000.0,0,block
R-001638,P-001638,15000.0,1,house
R-001642,P-001642,35000.0,1,block
R-001644,P-001644,25000.0,1,house
R-001649,P-001649,25000.0,1,block
R-001659,P-001659,15000.0,1,block
R-001661,P-001661,25000.0,2,block
R-001665,P-001665,25000.0,0,block
R-001666,P-001666,15000.0,0,house
R-001669,P-001669,15000.0,0,block
R-001680,P-001680,15000.0,1,block
R-001686,P-001686,50000.0,1,block
R-001690,P-001690,25000.0,1,block
R-001701,P-001701,25000.0,0,block
R-001707,P-001707,25000.0,2,house
R-001708,P-001708,25000.0,1,block
R-001710,P-001710,25000.0,1,block
R-001723,P-001723,25000.0,1,house
R-001729,P-001729,25000.0,1,block
R-001733,P-001733,25000.0,2,block
R-001736,P-001736,25000.0,1,block
R-001741,P-001741,25000.0,1,block
R-001742,P-001742,25000.0,2,block
R-001748,P-001748,35000.0,2,house
R-001752,P-001752,15000.0,0,block
R-001768,P-001768,35000.0,2,house
R-001770,P-001770,25000.0,1,block
R-001777,P-001777,35000.0,2,house
R-001781,P-001781,25000.0,1,block
R-001786,P-001786,50000.0,0,block
R-001794,P-001794,25000.0,2,block
R-001799,P-001799,35000.0,2,block
R-001802,P-001802,15000.0,2,block
R-001809,P-001809,35000.0,1,block
R-001818,P-001818,50000.0,0,block
R-001820,P-001820,35000.0,1,block
R-001821,P-001821,25000.0,0,block
R-001837,P-001837,35000.0,0,block
R-001839,P-001839,25000.0,1,block
R-001842,P-001842,25000.0,2,house
R-001845,P-001845,25000.0,0,block
R-001850,P-001850,15000.0,0,block
R-001852,P-001852,25000.0,2,block
R-001868,P-001868,35000.0,1,block
R-001869,P-001869,25000.0,0,block
R-001892,P-001892,15000.0,1,house
R-001903,P-001903,15000.0,2,block
R-001930,P-001930,25000.0,1,block
R-001939,P-001939,35000.0,2,block
R-001950,P-001950,25000.0,0,house
R-001965,P-001965,15000.0,2,house
R-001968,P-001968,15000.0,2,block
R-001977,P-001977,25000.0,2,block
R-001986,P-001986,15000.0,1,block
R-002010,P-002010,15000.0,1,block
R-002011,P-002011,25000.0,0,house
R-002017,P-002017,15000.0,1,house
R-002018,P-002018,50000.0,1,block
R-002027,P-002027,15000.0,1,block
R-002028,P-002028,35000.0,1,block
R-002031,P-002031,35000.0,2,block
R-002038,P-002038,15000.0,2,block
R-002054,P-002054,35000.0,0,block
R-002055,P-002055,35000.0,0,block
R-002056,P-002056,15000.0,0,house
R-002057,P-002057,50000.0,1,block
R-002065,P-002065,15000.0,2,block
R-002066,P-002066,15000.0,1,block
R-002070,P-002070,25000.0,1,block
R-002074,P-002074,25000.0,0,block
R-002079,P-002079,25000.0,0,block
R-002083,P-002083,25000.0,0,block
R-002090,P-002090,35000.0,2,house
R-002092,P-002092,15000.0,1,block
R-002105,P-002105,25000.0,1,block
R-002113,P-002113,35000.0,2,block
R-002148,P-002148,15000.0,0,house
R-002149,P-002149,35000.0,1,block
R-002156,P-002156,15000.0,0,block
R-002158,P-002158,15000.0,0,block
R-002163,P-002163,50000.0,0,block
R-002175,P-002175,15000.0,2,block
R-002176,P-002176,25000.0,2,block
R-002180,P-002180,35000.0,2,block
R-002190,P-002190,50000.0,0,block
R-002191,P-002191,25000.0,1,house
R-002202,P-002202,25000.0,0,house
R-002204,P-002204,35000.0,0,house
R-002210,P-002210,35000.0,1,block
R-002211,P-002211,35000.0,2,block
R-002214,P-002214,15000.0,1,block
R-002227,P-002227,25000.0,2,block
R-002230,P-002230,35000.0,1,block
R-002245,P-002245,25000.0,2,block
R-002246,P-002246,25000.0,0,block
R-002249,P-002249,50000.0,2,block
R-002254,P-002254,50000.0,1,block
R-002259,P-002259,15000.0,1,house
R-002264,P-002264,50000.0,1,block
R-002266,P-002266,15000.0,2,block
R-002269,P-002269,25000.0,2,block
R-002274,P-002274,25000.0,0,block
R-002284,P-002284,35000.0,1,block
R-002293,P-002293,25000.0,0,house
R-002300,P-002300,15000.0,0,house
R-002316,P-002316,25000.0,0,block
R-002319,P-002319,25000.0,0,house
R-002331,P-002331,50000.0,2,block
R-002335,P-002335,50000.0,2,block
R-002337,P-002337,25000.0,0,block
R-002340,P-002340,35000.0,0,block
R-002345,P-002345,15000.0,1,block
R-002347,P-002347,15000.0,0,house
R-002355,P-002355,15000.0,0,block
R-002364,P-002364,35000.0,2,block
R-002368,P-002368,35000.0,0,block
R-002369,P-002369,25000.0,0,block
R-002377,P-002377,25000.0,2,block
R-002379,P-002379,25000.0,0,house
R-002380,P-002380,35000.0,0,house
R-002388,P-002388,25000.0,1,block
R-002399,P-002399,15000.0,0,block
R-002401,P-002401,25000.0,0,house
R-002403,P-002403,50000.0,1,block
R-002416,P-002416,35000.0,0,block
R-002422,P-002422,35000.0,1,block
R-002436,P-002436,35000.0,2,house
R-002453,P-002453,15000.0,1,block
R-002481,P-002481,35000.0,1,block
R-002489,P-002489,25000.0,1,block
R-002494,P-002494,15000.0,0,block
R-002508,P-002508,25000.0,1,block
R-002513,P-002513,15000.0,2,block
R-002517,P-002517,35000.0,2,house
R-002525,P-002525,25000.0,1,block
R-002530,P-002530,35000.0,1,block
R-002574,P-002574,50000.0,1,block
R-002580,P-002580,25000.0,1,block
R-002584,P-002584,25000.0,0,block
R-002585,P-002585,35000.0,1,block
R-002587,P-002587,15000.0,1,block
R-002591,P-002591,35000.0,2,block
R-002599,P-002599,25000.0,2,block
R-002600,P-002600,15000.0,2,block
R-002609,P-002609,25000.0,1,house
R-002619,P-002619,15000.0,0,block
R-002623,P-002623,15000.0,0,block
R-002629,P-002629,35000.0,0,block
R-002642,P-002642,25000.0,1,block
R-002643,P-002643,25000.0,2,house
R-002645,P-002645,15000.0,1,block
R-002660,P-002660,25000.0,2,block
R-002684,P-002684,50000.0,0,block
R-002695,P-002695,50000.0,0,house
R-002697,P-002697,15000.0,1,block
R-002700,P-002700,25000.0,0,block
R-002712,P-002712,25000.0,0,block
R-002713,P-002713,15000.0,2,house
R-002723,P-002723,35000.0,2,house
R-002724,P-002724,15000.0,1,block
R-002727,P-002727,35000.0,1,block
R-002730,P-002730,25000.0,1,block
R-002736,P-002736,15000.0,0,block
R-002739,P-002739,15000.0,0,block
R-002742,P-002742,50000.0,1,block
R-002745,P-002745,25000.0,0,block
R-002746,P-002746,25000.0,2,block
R-002747,P-002747,35000.0,1,block
R-002748,P-002748,25000.0,1,house
R-002750,P-002750,25000.0,0,block
R-002758,P-002758,25000.0,2,block
R-002761,P-002761,15000.0,1,block
R-002768,P-002768,35000.0,2,block
R-002772,P-002772,15000.0,2,house
R-002775,P-002775,25000.0,1,house
R-002799,P-002799,50000.0,0,block
R-002801,P-002801,50000.0,1,block
R-002819,P-002819,50000.0,0,block
R-002825,P-002825,15000.0,0,block
R-002827,P-002827,15000.0,1,block
R-002829,P-002829,25000.0,2,block
R-002832,P-002832,50000.0,0,block
R-002834,P-002834,50000.0,0,block
R-002835,P-002835,15000.0,0,block
R-002837,P-002837,25000.0,1,block
R-002841,P-002841,35000.0,2,house
R-002843,P-002843,15000.0,0,block
R-002847,P-002847,35000.0,1,block
R-002853,P-002853,25000.0,1,block
R-002859,P-002859,15000.0,2,block
R-002861,P-002861,25000.0,0,block
R-002867,P-002867,25000.0,1,block
R-002876,P-002876,25000.0,1,block
R-002878,P-002878,15000.0,1,block
R-002890,P-002890,15000.0,2,house
R-002892,P-002892,25000.0,0,house
R-002896,P-002896,25000.0,2,block
R-002897,P-002897,15000.0,0,block
R-002899,P-002899,15000.0,0,block
R-002900,P-002900,35000.0,1,block
R-002902,P-002902,25000.0,2,block
R-002913,P-002913,25000.0,2,block
R-002915,P-002915,25000.0,2,block
R-002925,P-002925,35000.0,0,block
R-002926,P-002926,35000.0,1,block
R-002932,P-002932,35000.0,2,block
R-002941,P-002941,35000.0,1,block
R-002942,P-002942,50000.0,0,block
R-002943,P-002943,15000.0,0,house
R-002944,P-002944,35000.0,2,block
R-002946,P-002946,35000.0,0,block
R-002951,P-002951,25000.0,1,house
R-002959,P-002959,25000.0,0,block
R-002963,P-002963,25000.0,1,block
R-002973,P-002973,35000.0,1,block
R-002978,P-002978,25000.0,0,block
R-002979,P-002979,35000.0,1,block
R-002982,P-002982,15000.0,1,block
R-002992,P-002992,35000.0,0,block
R-002998,P-002998,50000.0,2,block
R-003015,P-003015,35000.0,1,block
R-003035,P-003035,35000.0,1,block
R-003038,P-003038,25000.0,1,house
R-003045,P-003045,50000.0,0,house
R-003051,P-003051,25000.0,2,block
R-003052,P-003052,35000.0,1,block
R-003060,P-003060,35000.0,2,block
R-003061,P-003061,50000.0,2,house
R-003072,P-003072,15000.0,2,block
R-003080,P-003080,25000.0,2,block
R-003084,P-003084,15000.0,0,block
R-003091,P-003091,35000.0,0,block
R-003093,P-003093,35000.0,2,house
R-003105,P-003105,25000.0,1,block
R-003124,P-003124,25000.0,0,block
R-003127,P-003127,25000.0,0,house
R-003131,P-003131,50000.0,1,house
R-003133,P-003133,15000.0,1,block
R-003136,P-003136,25000.0,2,block
R-003140,P-003140,35000.0,1,block
R-003142,P-003142,25000.0,0,house
R-003148,P-003148,50000.0,2,block
R-003153,P-003153,25000.0,2,block
R-003154,P-003154,25000.0,2,block
R-003164,P-003164,25000.0,0,house
R-003170,P-003170,25000.0,2,block
R-003175,P-003175,25000.0,1,house
R-003193,P-003193,15000.0,2,block
R-003195,P-003195,35000.0,1,block
R-003198,P-003198,50000.0,1,block
R-003202,P-003202,25000.0,2,house
R-003209,P-003209,25000.0,0,block
R-003213,P-003213,15000.0,1,house
R-003226,P-003226,35000.0,2,block
R-003242,P-003242,15000.0,1,block
R-003247,P-003247,50000.0,2,block
R-003250,P-003250,25000.0,2,block
R-003262,P-003262,15000.0,1,block
R-003265,P-003265,15000.0,2,block
R-003270,P-003270,35000.0,1,block
R-003274,P-003274,15000.0,2,block
R-003278,P-003278,15000.0,0,block
R-003279,P-003279,15000.0,1,house
R-003281,P-003281,35000.0,1,house
R-003282,P-003282,25000.0,0,block
R-003290,P-003290,25000.0,0,block
R-003299,P-003299,25000.0,0,house
R-003308,P-003308,25000.0,2,house
R-003316,P-003316,25000.0,0,house
R-003329,P-003329,35000.0,0,block
R-003331,P-003331,25000.0,2,house
R-003339,P-003339,15000.0,1,block
R-003347,P-003347,25000.0,1,block
R-003351,P-003351,25000.0,0,block
R-003353,P-003353,35000.0,2,block
R-003359,P-003359,35000.0,0,block
R-003361,P-003361,25000.0,1,house
R-003362,P-003362,25000.0,2,block
R-003365,P-003365,15000.0,0,block
R-003368,P-003368,50000.0,1,block
R-003371,P-003371,25000.0,2,block
R-003372,P-003372,35000.0,1,block
R-003385,P-003385,25000.0,1,block
R-003400,P-003400,50000.0,1,block
R-003403,P-003403,25000.0,0,block
R-003407,P-003407,25000.0,2,block
R-003408,P-003408,50000.0,2,house
R-003413,P-003413,25000.0,2,block
R-003414,P-003414,35000.0,1,house
R-003425,P-003425,25000.0,0,block
R-003427,P-003427,35000.0,0,block
R-003439,P-003439,25000.0,1,block
R-003441,P-003441,15000.0,2,house
R-003442,P-003442,25000.0,1,house
R-003444,P-003444,35000.0,0,block
R-003452,P-003452,25000.0,0,block
R-003466,P-003466,15000.0,2,house
R-003471,P-003471,25000.0,0,block
R-003483,P-003483,25000.0,0,block
R-003490,P-003490,25000.0,1,block
R-003495,P-003495,35000.0,2,block
R-003500,P-003500,25000.0,1,house
R-003503,P-003503,15000.0,0,block
R-003520,P-003520,15000.0,0,house
R-003522,P-003522,25000.0,2,block
R-003525,P-003525,35000.0,0,block
R-003529,P-003529,15000.0,2,block
R-003536,P-003536,25000.0,1,block
R-003537,P-003537,35000.0,0,house
R-003539,P-003539,25000.0,1,block
R-003548,P-003548,15000.0,1,block
R-003567,P-003567,50000.0,1,block
R-003584,P-003584,35000.0,1,block
R-003586,P-003586,25000.0,1,block
R-003594,P-003594,25000.0,2,block
R-003603,P-003603,25000.0,0,block
R-003618,P-003618,25000.0,0,block
R-003628,P-003628,25000.0,2,block
R-003632,P-003632,25000.0,0,block
R-003644,P-003644,25000.0,0,block
R-003648,P-003648,35000.0,0,block
R-003659,P-003659,15000.0,0,block
R-003662,P-003662,25000.0,2,block
R-003672,P-003672,25000.0,1,block
R-003675,P-003675,25000.0,2,house
R-003677,P-003677,25000.0,1,block
R-003679,P-003679,35000.0,0,block
R-003682,P-003682,25000.0,0,block
R-003697,P-003697,25000.0,0,house
R-003700,P-003700,35000.0,1,block
R-003704,P-003704,25000.0,0,block
R-003723,P-003723,25000.0,1,block
R-003731,P-003731,50000.0,1,house
R-003737,P-003737,25000.0,2,block
R-003758,P-003758,25000.0,2,block
R-003760,P-003760,35000.0,0,house
R-003762,P-003762,25000.0,1,block
R-003763,P-003763,25000.0,2,block
R-003769,P-003769,15000.0,0,block
R-003784,P-003784,25000.0,1,block
R-003789,P-003789,50000.0,1,block
R-003797,P-003797,35000.0,1,block
R-003800,P-003800,25000.0,2,block
R-003803,P-003803,25000.0,0,block
R-003807,P-003807,15000.0,2,house
R-003814,P-003814,25000.0,1,block
R-003827,P-003827,25000.0,2,block
R-003834,P-003834,25000.0,0,block
R-003855,P-003855,25000.0,1,block
R-003856,P-003856,25000.0,1,block
R-003864,P-003864,25000.0,0,house
R-003869,P-003869,15000.0,1,block
R-003879,P-003879,35000.0,2,block
R-003885,P-003885,25000.0,0,block
R-003892,P-003892,15000.0,0,block
R-003894,P-003894,25000.0,1,block
R-003895,P-003895,15000.0,1,block
R-003908,P-003908,25000.0,2,block
R-003909,P-003909,15000.0,1,block
R-003912,P-003912,25000.0,0,house
R-003913,P-003913,50000.0,0,block
R-003914,P-003914,35000.0,0,house
R-003934,P-003934,25000.0,1,block
R-003936,P-003936,50000.0,2,block
R-003944,P-003944,25000.0,0,block
R-003949,P-003949,25000.0,0,house
R-003958,P-003958,15000.0,0,block
R-003967,P-003967,15000.0,2,house
R-003970,P-003970,15000.0,1,block
R-003972,P-003972,35000.0,0,block
R-003973,P-003973,50000.0,0,block
R-003974,P-003974,25000.0,2,block
R-003978,P-003978,35000.0,0,block
R-003979,P-003979,25000.0,0,block
R-003985,P-003985,35000.0,2,block
R-003986,P-003986,35000.0,1,block
R-003989,P-003989,15000.0,0,block
R-004011,P-004011,25000.0,0,block
R-004034,P-004034,25000.0,0,block
R-004047,P-004047,35000.0,0,block
R-004049,P-004049,50000.0,1,block
R-004058,P-004058,15000.0,1,house
R-004066,P-004066,35000.0,2,block
R-004070,P-004070,35000.0,0,house
R-004074,P-004074,25000.0,1,house
R-004075,P-004075,25000.0,0,block
R-004078,P-004078,25000.0,0,block
R-004098,P-004098,35000.0,2,block
R-004105,P-004105,15000.0,1,block
R-004106,P-004106,35000.0,0,block
R-004113,P-004113,15000.0,2,block
R-004117,P-004117,15000.0,2,block
R-004122,P-004122,15000.0,2,block
R-004126,P-004126,15000.0,2,block
R-004127,P-004127,25000.0,2,house
R-004129,P-004129,25000.0,0,house
R-004130,P-004130,25000.0,2,block
R-004144,P-004144,15000.0,2,block
R-004150,P-004150,50000.0,1,block
R-004154,P-004154,25000.0,2,block
R-004158,P-004158,35000.0,0,block
R-004182,P-004182,15000.0,0,block
R-004183,P-004183,25000.0,0,block
R-004187,P-004187,15000.0,1,block
R-004189,P-004189,35000.0,2,block
R-004194,P-004194,25000.0,1,block
R-004197,P-004197,15000.0,0,block
R-004201,P-004201,25000.0,1,block
R-004212,P-004212,35000.0,2,house
R-004215,P-004215,25000.0,0,block
R-004223,P-004223,15000.0,2,house
R-004227,P-004227,25000.0,2,block
R-004230,P-004230,25000.0,2,house
R-004235,P-004235,25000.0,1,block
R-004242,P-004242,35000.0,2,block
R-004244,P-004244,35000.0,2,block
R-004249,P-004249,25000.0,0,block
R-004254,P-004254,25000.0,0,house
R-004263,P-004263,35000.0,1,house
R-004274,P-004274,50000.0,1,block
R-004279,P-004279,50000.0,1,block
R-004290,P-004290,35000.0,0,block
R-004291,P-004291,35000.0,2,block
R-004299,P-004299,35000.0,1,block
R-004309,P-004309,35000.0,1,house
R-004311,P-004311,25000.0,0,block
R-004323,P-004323,25000.0,2,block
R-004331,P-004331,15000.0,0,block
R-004336,P-004336,25000.0,0,block
R-004343,P-004343,25000.0,2,block
R-004354,P-004354,35000.0,1,block
R-004380,P-004380,35000.0,0,block
R-004382,P-004382,25000.0,2,block
R-004391,P-004391,50000.0,2,block
R-004393,P-004393,25000.0,2,house
R-004394,P-004394,25000.0,2,block
R-004397,P-004397,25000.0,2,house
R-004398,P-004398,15000.0,2,block
R-004409,P-004409,35000.0,1,block
R-004412,P-004412,15000.0,2,house
R-004415,P-004415,35000.0,1,block
R-004419,P-004419,25000.0,2,block
R-004440,P-004440,25000.0,1,block
R-004442,P-004442,25000.0,0,house
R-004444,P-004444,25000.0,0,block
R-004446,P-004446,35000.0,0,block
R-004466,P-004466,15000.0,0,block
R-004469,P-004469,35000.0,0,block
R-004486,P-004486,15000.0,1,block
R-004488,P-004488,35000.0,0,house
R-004491,P-004491,35000.0,1,house
R-004497,P-004497,35000.0,0,block
R-004506,P-004506,35000.0,2,block
R-004517,P-004517,25000.0,2,house
R-004524,P-004524,35000.0,1,block
R-004530,P-004530,50000.0,1,house
R-004534,P-004534,15000.0,2,block
R-004536,P-004536,15000.0,1,block
R-004561,P-004561,25000.0,0,block
R-004562,P-004562,35000.0,1,block
R-004567,P-004567,25000.0,2,house
R-004576,P-004576,50000.0,1,block
R-004580,P-004580,15000.0,0,house
R-004584,P-004584,15000.0,2,block
R-004591,P-004591,15000.0,1,block
R-004594,P-004594,15000.0,2,block
R-004603,P-004603,25000.0,0,block
R-004606,P-004606,15000.0,0,block
R-004613,P-004613,25000.0,0,block
R-004615,P-004615,15000.0,0,block
R-004662,P-004662,15000.0,1,house
R-004670,P-004670,25000.0,0,block
R-004673,P-004673,25000.0,0,block
R-004674,P-004674,25000.0,1,block
R-004700,P-004700,25000.0,2,block
R-004704,P-004704,50000.0,2,block
R-004719,P-004719,35000.0,0,house
R-004727,P-004727,15000.0,2,block
R-004735,P-004735,35000.0,2,block
R-004737,P-004737,25000.0,1,block
R-004743,P-004743,35000.0,1,block
R-004754,P-004754,35000.0,1,block
R-004760,P-004760,35000.0,2,block
R-004769,P-004769,15000.0,2,block
R-004771,P-004771,25000.0,0,block
R-004773,P-004773,35000.0,0,block
R-004776,P-004776,25000.0,1,house
R-004778,P-004778,50000.0,2,block
R-004780,P-004780,15000.0,2,block
R-004783,P-004783,35000.0,0,block
